Radionuclide	Th-232
Route of Intake	Injection
Material	Injection, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
9.5	1.5E-3	-	-	2.5E-4	9.9E-4	9.1E-5
10	1.5E-3	1.5E-3	7.5E-5	2.5E-4	1.0E-3	9.2E-5
11	1.6E-3	1.3E-3	6.2E-5	2.6E-4	1.1E-3	9.4E-5
12	1.7E-3	1.2E-3	5.2E-5	2.6E-4	1.2E-3	9.5E-5
13	1.7E-3	1.1E-3	4.4E-5	2.6E-4	1.2E-3	9.6E-5
14	1.8E-3	1.0E-3	3.9E-5	2.6E-4	1.3E-3	9.7E-5
15	1.9E-3	9.7E-4	3.5E-5	2.7E-4	1.4E-3	9.8E-5
16	2.0E-3	9.1E-4	3.2E-5	2.7E-4	1.4E-3	9.9E-5
17	2.0E-3	8.6E-4	3.0E-5	2.7E-4	1.5E-3	9.9E-5
18	2.1E-3	8.2E-4	2.8E-5	2.7E-4	1.5E-3	1.0E-4
19	2.2E-3	7.7E-4	2.7E-5	2.7E-4	1.6E-3	1.0E-4
20	2.2E-3	7.4E-4	2.6E-5	2.7E-4	1.7E-3	1.0E-4
21	2.3E-3	7.0E-4	2.6E-5	2.7E-4	1.7E-3	1.0E-4
22	2.4E-3	6.7E-4	2.5E-5	2.7E-4	1.8E-3	1.0E-4
23	2.4E-3	6.4E-4	2.5E-5	2.7E-4	1.8E-3	1.0E-4
24	2.5E-3	6.1E-4	2.4E-5	2.7E-4	1.9E-3	1.0E-4
25	2.6E-3	5.8E-4	2.4E-5	2.7E-4	2.0E-3	1.0E-4
26	2.6E-3	5.5E-4	2.4E-5	2.7E-4	2.0E-3	1.1E-4
27	2.7E-3	5.3E-4	2.4E-5	2.7E-4	2.1E-3	1.1E-4
28	2.7E-3	5.1E-4	2.4E-5	2.7E-4	2.1E-3	1.1E-4
29	2.8E-3	4.8E-4	2.4E-5	2.7E-4	2.2E-3	1.1E-4
30	2.9E-3	4.6E-4	2.4E-5	2.8E-4	2.2E-3	1.1E-4
31	2.9E-3	4.4E-4	2.4E-5	2.8E-4	2.3E-3	1.1E-4
32	3.0E-3	4.2E-4	2.4E-5	2.8E-4	2.3E-3	1.1E-4
33	3.0E-3	4.0E-4	2.3E-5	2.8E-4	2.4E-3	1.1E-4
34	3.1E-3	3.9E-4	2.3E-5	2.8E-4	2.4E-3	1.1E-4
35	3.1E-3	3.7E-4	2.3E-5	2.8E-4	2.5E-3	1.1E-4
36	3.2E-3	3.5E-4	2.3E-5	2.8E-4	2.5E-3	1.1E-4
37	3.3E-3	3.4E-4	2.3E-5	2.8E-4	2.6E-3	1.1E-4
38	3.3E-3	3.2E-4	2.3E-5	2.8E-4	2.6E-3	1.1E-4
39	3.4E-3	3.1E-4	2.3E-5	2.8E-4	2.7E-3	1.1E-4
40	3.4E-3	3.0E-4	2.3E-5	2.8E-4	2.7E-3	1.2E-4
41	3.5E-3	2.8E-4	2.3E-5	2.8E-4	2.8E-3	1.2E-4
42	3.5E-3	2.7E-4	2.3E-5	2.8E-4	2.8E-3	1.2E-4
43	3.6E-3	2.6E-4	2.3E-5	2.8E-4	2.9E-3	1.2E-4
44	3.6E-3	2.5E-4	2.3E-5	2.8E-4	2.9E-3	1.2E-4
45	3.7E-3	2.4E-4	2.3E-5	2.8E-4	3.0E-3	1.2E-4
46	3.7E-3	2.3E-4	2.3E-5	2.8E-4	3.0E-3	1.2E-4
47	3.8E-3	2.2E-4	2.3E-5	2.8E-4	3.0E-3	1.2E-4
48	3.8E-3	2.1E-4	2.3E-5	2.8E-4	3.1E-3	1.2E-4
49	3.9E-3	2.0E-4	2.3E-5	2.8E-4	3.1E-3	1.2E-4
50	3.9E-3	1.9E-4	2.3E-5	2.8E-4	3.2E-3	1.2E-4
51	4.0E-3	1.9E-4	2.3E-5	2.8E-4	3.2E-3	1.2E-4
52	4.0E-3	1.8E-4	2.3E-5	2.9E-4	3.3E-3	1.3E-4
53	4.1E-3	1.7E-4	2.3E-5	2.9E-4	3.3E-3	1.3E-4
54	4.1E-3	1.6E-4	2.3E-5	2.9E-4	3.3E-3	1.3E-4
55	4.2E-3	1.6E-4	2.3E-5	2.9E-4	3.4E-3	1.3E-4
56	4.2E-3	1.5E-4	2.3E-5	2.9E-4	3.4E-3	1.3E-4
57	4.3E-3	1.5E-4	2.3E-5	2.9E-4	3.5E-3	1.3E-4
58	4.3E-3	1.4E-4	2.3E-5	2.9E-4	3.5E-3	1.3E-4
59	4.4E-3	1.3E-4	2.3E-5	2.9E-4	3.5E-3	1.3E-4
60	4.4E-3	1.3E-4	2.3E-5	2.9E-4	3.6E-3	1.3E-4
61	4.4E-3	1.2E-4	2.3E-5	2.9E-4	3.6E-3	1.3E-4
62	4.5E-3	1.2E-4	2.3E-5	2.9E-4	3.7E-3	1.4E-4
63	4.5E-3	1.2E-4	2.2E-5	2.9E-4	3.7E-3	1.4E-4
64	4.6E-3	1.1E-4	2.2E-5	2.9E-4	3.7E-3	1.4E-4
65	4.6E-3	1.1E-4	2.2E-5	2.9E-4	3.8E-3	1.4E-4
66	4.7E-3	1.0E-4	2.2E-5	2.9E-4	3.8E-3	1.4E-4
67	4.7E-3	9.9E-5	2.2E-5	2.9E-4	3.8E-3	1.4E-4
68	4.7E-3	9.6E-5	2.2E-5	2.9E-4	3.9E-3	1.4E-4
69	4.8E-3	9.2E-5	2.2E-5	2.9E-4	3.9E-3	1.4E-4
70	4.8E-3	8.9E-5	2.2E-5	2.9E-4	4.0E-3	1.4E-4
71	4.9E-3	8.6E-5	2.2E-5	2.9E-4	4.0E-3	1.5E-4
72	4.9E-3	8.3E-5	2.2E-5	2.9E-4	4.0E-3	1.5E-4
73	5.0E-3	8.0E-5	2.2E-5	2.9E-4	4.1E-3	1.5E-4
74	5.0E-3	7.8E-5	2.2E-5	2.9E-4	4.1E-3	1.5E-4
75	5.0E-3	7.5E-5	2.2E-5	2.9E-4	4.1E-3	1.5E-4
76	5.1E-3	7.3E-5	2.2E-5	2.9E-4	4.2E-3	1.5E-4
77	5.1E-3	7.0E-5	2.2E-5	2.9E-4	4.2E-3	1.5E-4
78	5.2E-3	6.8E-5	2.2E-5	2.9E-4	4.2E-3	1.5E-4
79	5.2E-3	6.6E-5	2.2E-5	2.9E-4	4.3E-3	1.6E-4
80	5.2E-3	6.4E-5	2.2E-5	2.9E-4	4.3E-3	1.6E-4
81	5.3E-3	6.2E-5	2.2E-5	2.9E-4	4.3E-3	1.6E-4
82	5.3E-3	6.0E-5	2.2E-5	2.9E-4	4.4E-3	1.6E-4
83	5.4E-3	5.8E-5	2.2E-5	2.9E-4	4.4E-3	1.6E-4
84	5.4E-3	5.7E-5	2.2E-5	2.9E-4	4.4E-3	1.6E-4
85	5.4E-3	5.5E-5	2.2E-5	3.0E-4	4.5E-3	1.6E-4
86	5.5E-3	5.4E-5	2.2E-5	3.0E-4	4.5E-3	1.6E-4
87	5.5E-3	5.2E-5	2.2E-5	3.0E-4	4.5E-3	1.7E-4
88	5.5E-3	5.1E-5	2.2E-5	3.0E-4	4.6E-3	1.7E-4
89	5.6E-3	4.9E-5	2.2E-5	3.0E-4	4.6E-3	1.7E-4
90	5.6E-3	4.8E-5	2.2E-5	3.0E-4	4.6E-3	1.7E-4
91	5.6E-3	4.7E-5	2.2E-5	3.0E-4	4.7E-3	1.7E-4
92	5.7E-3	4.6E-5	2.2E-5	3.0E-4	4.7E-3	1.7E-4
93	5.7E-3	4.5E-5	2.2E-5	3.0E-4	4.7E-3	1.7E-4
94	5.8E-3	4.4E-5	2.2E-5	3.0E-4	4.8E-3	1.7E-4
95	5.8E-3	4.3E-5	2.1E-5	3.0E-4	4.8E-3	1.8E-4
96	5.8E-3	4.2E-5	2.1E-5	3.0E-4	4.8E-3	1.8E-4
97	5.9E-3	4.1E-5	2.1E-5	3.0E-4	4.8E-3	1.8E-4
98	5.9E-3	4.0E-5	2.1E-5	3.0E-4	4.9E-3	1.8E-4
99	5.9E-3	3.9E-5	2.1E-5	3.0E-4	4.9E-3	1.8E-4
100	6.0E-3	3.8E-5	2.1E-5	3.0E-4	4.9E-3	1.8E-4
110	6.3E-3	3.3E-5	2.1E-5	3.0E-4	5.2E-3	2.0E-4
120	6.6E-3	2.9E-5	2.1E-5	3.0E-4	5.5E-3	2.1E-4
130	7.0E-3	2.7E-5	2.0E-5	3.0E-4	5.8E-3	2.3E-4
140	7.3E-3	2.6E-5	2.0E-5	3.0E-4	6.0E-3	2.5E-4
150	7.6E-3	2.5E-5	2.0E-5	3.0E-4	6.3E-3	2.6E-4
160	7.9E-3	2.5E-5	2.0E-5	3.0E-4	6.5E-3	2.8E-4
170	8.1E-3	2.5E-5	1.9E-5	3.0E-4	6.7E-3	3.0E-4
180	8.4E-3	2.5E-5	1.9E-5	3.0E-4	7.0E-3	3.2E-4
190	8.7E-3	2.5E-5	1.9E-5	3.0E-4	7.2E-3	3.4E-4
200	9.0E-3	2.5E-5	1.9E-5	3.1E-4	7.4E-3	3.6E-4
210	9.3E-3	2.5E-5	1.8E-5	3.1E-4	7.7E-3	3.9E-4
220	9.5E-3	2.5E-5	1.8E-5	3.1E-4	7.9E-3	4.1E-4
230	9.8E-3	2.5E-5	1.8E-5	3.1E-4	8.1E-3	4.3E-4
240	1.0E-2	2.6E-5	1.8E-5	3.1E-4	8.3E-3	4.6E-4
250	1.0E-2	2.6E-5	1.7E-5	3.1E-4	8.5E-3	4.8E-4
260	1.1E-2	2.6E-5	1.7E-5	3.1E-4	8.8E-3	5.0E-4
270	1.1E-2	2.6E-5	1.7E-5	3.1E-4	9.0E-3	5.3E-4
280	1.1E-2	2.6E-5	1.7E-5	3.0E-4	9.2E-3	5.5E-4
290	1.1E-2	2.6E-5	1.7E-5	3.0E-4	9.4E-3	5.8E-4
300	1.2E-2	2.6E-5	1.6E-5	3.0E-4	9.6E-3	6.0E-4
310	1.2E-2	2.6E-5	1.6E-5	3.0E-4	9.9E-3	6.3E-4
320	1.2E-2	2.6E-5	1.6E-5	3.0E-4	1.0E-2	6.6E-4
330	1.2E-2	2.6E-5	1.6E-5	3.0E-4	1.0E-2	6.8E-4
340	1.3E-2	2.6E-5	1.6E-5	3.0E-4	1.1E-2	7.1E-4
350	1.3E-2	2.6E-5	1.5E-5	3.0E-4	1.1E-2	7.4E-4
360	1.3E-2	2.6E-5	1.5E-5	3.0E-4	1.1E-2	7.6E-4
365	1.3E-2	2.6E-5	1.5E-5	3.0E-4	1.1E-2	7.8E-4
370	1.4E-2	2.6E-5	1.5E-5	3.0E-4	1.1E-2	7.9E-4
380	1.4E-2	2.6E-5	1.5E-5	3.0E-4	1.1E-2	8.2E-4
390	1.4E-2	2.6E-5	1.5E-5	3.0E-4	1.2E-2	8.5E-4
400	1.4E-2	2.6E-5	1.4E-5	3.0E-4	1.2E-2	8.8E-4
410	1.5E-2	2.6E-5	1.4E-5	3.0E-4	1.2E-2	9.0E-4
420	1.5E-2	2.6E-5	1.4E-5	3.0E-4	1.2E-2	9.3E-4
430	1.5E-2	2.6E-5	1.4E-5	3.0E-4	1.3E-2	9.6E-4
440	1.5E-2	2.6E-5	1.4E-5	3.0E-4	1.3E-2	9.9E-4
450	1.6E-2	2.6E-5	1.4E-5	3.0E-4	1.3E-2	1.0E-3
460	1.6E-2	2.6E-5	1.3E-5	3.0E-4	1.3E-2	1.0E-3
470	1.6E-2	2.6E-5	1.3E-5	3.0E-4	1.3E-2	1.1E-3
480	1.7E-2	2.6E-5	1.3E-5	3.0E-4	1.4E-2	1.1E-3
490	1.7E-2	2.6E-5	1.3E-5	3.0E-4	1.4E-2	1.1E-3
500	1.7E-2	2.6E-5	1.3E-5	3.0E-4	1.4E-2	1.2E-3
510	1.7E-2	2.6E-5	1.3E-5	3.0E-4	1.4E-2	1.2E-3
520	1.8E-2	2.6E-5	1.2E-5	3.0E-4	1.5E-2	1.2E-3
530	1.8E-2	2.6E-5	1.2E-5	3.0E-4	1.5E-2	1.2E-3
540	1.8E-2	2.6E-5	1.2E-5	3.0E-4	1.5E-2	1.3E-3
550	1.8E-2	2.6E-5	1.2E-5	3.0E-4	1.5E-2	1.3E-3
560	1.9E-2	2.6E-5	1.2E-5	3.0E-4	1.6E-2	1.3E-3
570	1.9E-2	2.6E-5	1.2E-5	3.0E-4	1.6E-2	1.4E-3
580	1.9E-2	2.6E-5	1.2E-5	3.0E-4	1.6E-2	1.4E-3
590	2.0E-2	2.6E-5	1.2E-5	3.0E-4	1.6E-2	1.4E-3
600	2.0E-2	2.6E-5	1.1E-5	3.0E-4	1.6E-2	1.4E-3
610	2.0E-2	2.6E-5	1.1E-5	3.0E-4	1.7E-2	1.5E-3
620	2.0E-2	2.6E-5	1.1E-5	3.0E-4	1.7E-2	1.5E-3
630	2.1E-2	2.6E-5	1.1E-5	3.0E-4	1.7E-2	1.5E-3
640	2.1E-2	2.5E-5	1.1E-5	3.0E-4	1.7E-2	1.6E-3
650	2.1E-2	2.5E-5	1.1E-5	3.0E-4	1.8E-2	1.6E-3
660	2.1E-2	2.5E-5	1.1E-5	3.0E-4	1.8E-2	1.6E-3
670	2.2E-2	2.5E-5	1.1E-5	3.0E-4	1.8E-2	1.6E-3
680	2.2E-2	2.5E-5	1.0E-5	3.0E-4	1.8E-2	1.7E-3
690	2.2E-2	2.5E-5	1.0E-5	3.0E-4	1.9E-2	1.7E-3
700	2.3E-2	2.5E-5	1.0E-5	3.0E-4	1.9E-2	1.7E-3
710	2.3E-2	2.5E-5	1.0E-5	3.0E-4	1.9E-2	1.7E-3
720	2.3E-2	2.5E-5	1.0E-5	3.0E-4	1.9E-2	1.8E-3
730	2.3E-2	2.5E-5	1.0E-5	3.0E-4	2.0E-2	1.8E-3
740	2.4E-2	2.5E-5	9.9E-6	3.0E-4	2.0E-2	1.8E-3
750	2.4E-2	2.5E-5	9.8E-6	3.0E-4	2.0E-2	1.9E-3
760	2.4E-2	2.5E-5	9.7E-6	3.0E-4	2.0E-2	1.9E-3
770	2.4E-2	2.5E-5	9.6E-6	3.0E-4	2.0E-2	1.9E-3
780	2.5E-2	2.5E-5	9.5E-6	3.0E-4	2.1E-2	1.9E-3
790	2.5E-2	2.5E-5	9.4E-6	3.0E-4	2.1E-2	2.0E-3
800	2.5E-2	2.5E-5	9.3E-6	3.0E-4	2.1E-2	2.0E-3
810	2.6E-2	2.5E-5	9.2E-6	3.0E-4	2.1E-2	2.0E-3
820	2.6E-2	2.5E-5	9.1E-6	3.0E-4	2.2E-2	2.0E-3
830	2.6E-2	2.4E-5	9.0E-6	3.0E-4	2.2E-2	2.1E-3
840	2.6E-2	2.4E-5	9.0E-6	3.0E-4	2.2E-2	2.1E-3
850	2.7E-2	2.4E-5	8.9E-6	3.0E-4	2.2E-2	2.1E-3
860	2.7E-2	2.4E-5	8.8E-6	3.0E-4	2.3E-2	2.1E-3
870	2.7E-2	2.4E-5	8.7E-6	3.0E-4	2.3E-2	2.2E-3
880	2.7E-2	2.4E-5	8.6E-6	3.0E-4	2.3E-2	2.2E-3
890	2.8E-2	2.4E-5	8.6E-6	3.0E-4	2.3E-2	2.2E-3
900	2.8E-2	2.4E-5	8.5E-6	3.0E-4	2.4E-2	2.2E-3
910	2.8E-2	2.4E-5	8.4E-6	3.0E-4	2.4E-2	2.2E-3
920	2.9E-2	2.4E-5	8.3E-6	3.0E-4	2.4E-2	2.3E-3
930	2.9E-2	2.4E-5	8.3E-6	3.0E-4	2.4E-2	2.3E-3
940	2.9E-2	2.4E-5	8.2E-6	3.0E-4	2.5E-2	2.3E-3
950	2.9E-2	2.4E-5	8.1E-6	3.0E-4	2.5E-2	2.3E-3
960	3.0E-2	2.4E-5	8.0E-6	3.0E-4	2.5E-2	2.4E-3
970	3.0E-2	2.4E-5	8.0E-6	3.0E-4	2.5E-2	2.4E-3
980	3.0E-2	2.4E-5	7.9E-6	3.0E-4	2.5E-2	2.4E-3
990	3.0E-2	2.4E-5	7.8E-6	3.0E-4	2.6E-2	2.4E-3
1000	3.1E-2	2.4E-5	7.8E-6	3.0E-4	2.6E-2	2.4E-3
1010	3.1E-2	2.3E-5	7.7E-6	3.0E-4	2.6E-2	2.5E-3
1020	3.1E-2	2.3E-5	7.7E-6	3.0E-4	2.6E-2	2.5E-3
1030	3.1E-2	2.3E-5	7.6E-6	3.0E-4	2.7E-2	2.5E-3
1040	3.2E-2	2.3E-5	7.5E-6	3.0E-4	2.7E-2	2.5E-3
1050	3.2E-2	2.3E-5	7.5E-6	3.0E-4	2.7E-2	2.6E-3
1060	3.2E-2	2.3E-5	7.4E-6	2.9E-4	2.7E-2	2.6E-3
1070	3.2E-2	2.3E-5	7.4E-6	2.9E-4	2.8E-2	2.6E-3
1080	3.3E-2	2.3E-5	7.3E-6	2.9E-4	2.8E-2	2.6E-3
1090	3.3E-2	2.3E-5	7.2E-6	2.9E-4	2.8E-2	2.6E-3
1095	3.3E-2	2.3E-5	7.2E-6	2.9E-4	2.8E-2	2.6E-3
1100	3.3E-2	2.3E-5	7.2E-6	2.9E-4	2.8E-2	2.7E-3
1200	3.6E-2	2.3E-5	6.7E-6	2.9E-4	3.1E-2	2.8E-3
1300	3.8E-2	2.2E-5	6.3E-6	2.9E-4	3.3E-2	3.0E-3
1400	4.1E-2	2.2E-5	5.9E-6	2.9E-4	3.5E-2	3.1E-3
1500	4.3E-2	2.1E-5	5.6E-6	2.9E-4	3.7E-2	3.3E-3
1600	4.5E-2	2.1E-5	5.3E-6	2.9E-4	4.0E-2	3.4E-3
1700	4.8E-2	2.0E-5	5.1E-6	2.9E-4	4.2E-2	3.5E-3
1800	5.0E-2	2.0E-5	4.8E-6	2.9E-4	4.4E-2	3.6E-3
1900	5.2E-2	2.0E-5	4.7E-6	2.9E-4	4.6E-2	3.6E-3
2000	5.4E-2	1.9E-5	4.5E-6	2.9E-4	4.8E-2	3.7E-3
2100	5.6E-2	1.9E-5	4.3E-6	2.9E-4	5.0E-2	3.8E-3
2200	5.8E-2	1.9E-5	4.2E-6	2.9E-4	5.2E-2	3.8E-3
2300	6.0E-2	1.9E-5	4.1E-6	2.9E-4	5.4E-2	3.9E-3
2400	6.2E-2	1.8E-5	4.0E-6	2.9E-4	5.5E-2	3.9E-3
2500	6.3E-2	1.8E-5	3.9E-6	2.9E-4	5.7E-2	3.9E-3
2600	6.5E-2	1.8E-5	3.8E-6	2.8E-4	5.9E-2	3.9E-3
2700	6.7E-2	1.7E-5	3.7E-6	2.8E-4	6.0E-2	4.0E-3
2800	6.8E-2	1.7E-5	3.6E-6	2.8E-4	6.2E-2	4.0E-3
2900	7.0E-2	1.7E-5	3.6E-6	2.8E-4	6.4E-2	4.0E-3
3000	7.1E-2	1.7E-5	3.5E-6	2.8E-4	6.5E-2	4.0E-3
3100	7.3E-2	1.7E-5	3.5E-6	2.8E-4	6.6E-2	4.0E-3
3200	7.4E-2	1.6E-5	3.4E-6	2.8E-4	6.8E-2	4.0E-3
3300	7.6E-2	1.6E-5	3.3E-6	2.8E-4	6.9E-2	4.0E-3
3400	7.7E-2	1.6E-5	3.3E-6	2.8E-4	7.1E-2	4.0E-3
3500	7.8E-2	1.6E-5	3.2E-6	2.8E-4	7.2E-2	4.0E-3
3600	7.9E-2	1.6E-5	3.2E-6	2.8E-4	7.3E-2	4.0E-3
3650	8.0E-2	1.5E-5	3.2E-6	2.8E-4	7.4E-2	4.0E-3
4000	8.4E-2	1.5E-5	3.0E-6	2.8E-4	7.8E-2	4.0E-3
5000	9.4E-2	1.3E-5	2.7E-6	2.7E-4	8.8E-2	3.8E-3
6000	1.0E-1	1.2E-5	2.5E-6	2.6E-4	9.6E-2	3.6E-3
7000	1.1E-1	1.2E-5	2.3E-6	2.5E-4	1.0E-1	3.4E-3
8000	1.1E-1	1.1E-5	2.2E-6	2.5E-4	1.1E-1	3.2E-3
9000	1.2E-1	1.0E-5	2.0E-6	2.4E-4	1.2E-1	3.1E-3
10000	1.3E-1	9.9E-6	2.0E-6	2.3E-4	1.2E-1	2.9E-3
11000	1.3E-1	9.5E-6	1.9E-6	2.3E-4	1.3E-1	2.7E-3
12000	1.3E-1	9.2E-6	1.8E-6	2.2E-4	1.3E-1	2.6E-3
13000	1.4E-1	9.0E-6	1.8E-6	2.2E-4	1.3E-1	2.5E-3
14000	1.4E-1	8.7E-6	1.7E-6	2.1E-4	1.4E-1	2.3E-3
15000	1.4E-1	8.5E-6	1.7E-6	2.1E-4	1.4E-1	2.2E-3
16000	1.5E-1	8.3E-6	1.6E-6	2.0E-4	1.4E-1	2.2E-3
17000	1.5E-1	8.1E-6	1.6E-6	2.0E-4	1.4E-1	2.1E-3
18000	1.5E-1	8.0E-6	1.6E-6	1.9E-4	1.5E-1	2.0E-3
18250	1.5E-1	7.9E-6	1.6E-6	1.9E-4	1.5E-1	2.0E-3
