Radionuclide	Th-232
Route of Intake	Ingestion
Material	All forms, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
78	3.4E-6	3.4E-8	1.1E-8	1.6E-7	2.9E-6	8.6E-8
79	3.4E-6	3.3E-8	1.1E-8	1.6E-7	2.9E-6	8.6E-8
80	3.4E-6	3.2E-8	1.1E-8	1.6E-7	2.9E-6	8.7E-8
81	3.5E-6	3.1E-8	1.1E-8	1.6E-7	2.9E-6	8.7E-8
82	3.5E-6	3.0E-8	1.1E-8	1.6E-7	2.9E-6	8.8E-8
83	3.5E-6	2.9E-8	1.1E-8	1.6E-7	2.9E-6	8.8E-8
84	3.5E-6	2.9E-8	1.1E-8	1.6E-7	2.9E-6	8.9E-8
85	3.5E-6	2.8E-8	1.1E-8	1.6E-7	2.9E-6	9.0E-8
86	3.5E-6	2.7E-8	1.1E-8	1.6E-7	3.0E-6	9.0E-8
87	3.5E-6	2.6E-8	1.1E-8	1.6E-7	3.0E-6	9.1E-8
88	3.5E-6	2.6E-8	1.1E-8	1.6E-7	3.0E-6	9.1E-8
89	3.6E-6	2.5E-8	1.1E-8	1.6E-7	3.0E-6	9.2E-8
90	3.6E-6	2.4E-8	1.1E-8	1.6E-7	3.0E-6	9.3E-8
91	3.6E-6	2.4E-8	1.1E-8	1.6E-7	3.0E-6	9.3E-8
92	3.6E-6	2.3E-8	1.1E-8	1.6E-7	3.0E-6	9.4E-8
93	3.6E-6	2.2E-8	1.1E-8	1.6E-7	3.0E-6	9.4E-8
94	3.6E-6	2.2E-8	1.1E-8	1.6E-7	3.0E-6	9.5E-8
95	3.6E-6	2.1E-8	1.1E-8	1.6E-7	3.0E-6	9.6E-8
96	3.6E-6	2.1E-8	1.1E-8	1.6E-7	3.1E-6	9.6E-8
97	3.7E-6	2.1E-8	1.1E-8	1.6E-7	3.1E-6	9.7E-8
98	3.7E-6	2.0E-8	1.1E-8	1.6E-7	3.1E-6	9.8E-8
99	3.7E-6	2.0E-8	1.1E-8	1.6E-7	3.1E-6	9.8E-8
100	3.7E-6	1.9E-8	1.1E-8	1.6E-7	3.1E-6	9.9E-8
110	3.8E-6	1.6E-8	1.1E-8	1.6E-7	3.2E-6	1.1E-7
120	3.9E-6	1.5E-8	1.0E-8	1.6E-7	3.3E-6	1.1E-7
130	4.1E-6	1.3E-8	1.0E-8	1.5E-7	3.4E-6	1.2E-7
140	4.2E-6	1.3E-8	1.0E-8	1.5E-7	3.5E-6	1.3E-7
150	4.3E-6	1.3E-8	1.0E-8	1.5E-7	3.6E-6	1.4E-7
160	4.4E-6	1.2E-8	9.8E-9	1.5E-7	3.7E-6	1.5E-7
170	4.6E-6	1.2E-8	9.7E-9	1.5E-7	3.8E-6	1.6E-7
180	4.7E-6	1.2E-8	9.6E-9	1.5E-7	3.9E-6	1.7E-7
190	4.8E-6	1.2E-8	9.4E-9	1.5E-7	4.0E-6	1.8E-7
200	4.9E-6	1.2E-8	9.3E-9	1.5E-7	4.1E-6	1.9E-7
210	5.1E-6	1.3E-8	9.2E-9	1.5E-7	4.2E-6	2.0E-7
220	5.2E-6	1.3E-8	9.1E-9	1.5E-7	4.3E-6	2.1E-7
230	5.3E-6	1.3E-8	9.0E-9	1.5E-7	4.4E-6	2.2E-7
240	5.5E-6	1.3E-8	8.8E-9	1.5E-7	4.5E-6	2.3E-7
250	5.6E-6	1.3E-8	8.7E-9	1.5E-7	4.6E-6	2.4E-7
260	5.7E-6	1.3E-8	8.6E-9	1.5E-7	4.8E-6	2.6E-7
270	5.8E-6	1.3E-8	8.5E-9	1.5E-7	4.9E-6	2.7E-7
280	6.0E-6	1.3E-8	8.4E-9	1.5E-7	5.0E-6	2.8E-7
290	6.1E-6	1.3E-8	8.3E-9	1.5E-7	5.1E-6	2.9E-7
300	6.2E-6	1.3E-8	8.2E-9	1.5E-7	5.2E-6	3.1E-7
310	6.4E-6	1.3E-8	8.1E-9	1.5E-7	5.3E-6	3.2E-7
320	6.5E-6	1.3E-8	8.0E-9	1.5E-7	5.4E-6	3.3E-7
330	6.6E-6	1.3E-8	7.9E-9	1.5E-7	5.5E-6	3.5E-7
340	6.8E-6	1.3E-8	7.8E-9	1.5E-7	5.6E-6	3.6E-7
350	6.9E-6	1.3E-8	7.7E-9	1.5E-7	5.7E-6	3.7E-7
360	7.0E-6	1.3E-8	7.6E-9	1.5E-7	5.8E-6	3.9E-7
365	7.1E-6	1.3E-8	7.5E-9	1.5E-7	5.9E-6	3.9E-7
370	7.1E-6	1.3E-8	7.5E-9	1.5E-7	5.9E-6	4.0E-7
380	7.3E-6	1.3E-8	7.4E-9	1.5E-7	6.0E-6	4.1E-7
390	7.4E-6	1.3E-8	7.3E-9	1.5E-7	6.2E-6	4.3E-7
400	7.5E-6	1.3E-8	7.2E-9	1.5E-7	6.3E-6	4.4E-7
410	7.7E-6	1.3E-8	7.1E-9	1.5E-7	6.4E-6	4.6E-7
420	7.8E-6	1.3E-8	7.0E-9	1.5E-7	6.5E-6	4.7E-7
430	7.9E-6	1.3E-8	6.9E-9	1.5E-7	6.6E-6	4.8E-7
440	8.1E-6	1.3E-8	6.9E-9	1.5E-7	6.7E-6	5.0E-7
450	8.2E-6	1.3E-8	6.8E-9	1.5E-7	6.8E-6	5.1E-7
460	8.3E-6	1.3E-8	6.7E-9	1.5E-7	6.9E-6	5.3E-7
470	8.5E-6	1.3E-8	6.6E-9	1.5E-7	7.0E-6	5.4E-7
480	8.6E-6	1.3E-8	6.5E-9	1.5E-7	7.1E-6	5.5E-7
490	8.7E-6	1.3E-8	6.5E-9	1.5E-7	7.3E-6	5.7E-7
500	8.9E-6	1.3E-8	6.4E-9	1.5E-7	7.4E-6	5.8E-7
510	9.0E-6	1.3E-8	6.3E-9	1.5E-7	7.5E-6	6.0E-7
520	9.1E-6	1.3E-8	6.2E-9	1.5E-7	7.6E-6	6.1E-7
530	9.3E-6	1.3E-8	6.2E-9	1.5E-7	7.7E-6	6.3E-7
540	9.4E-6	1.3E-8	6.1E-9	1.5E-7	7.8E-6	6.4E-7
550	9.6E-6	1.3E-8	6.0E-9	1.5E-7	7.9E-6	6.5E-7
560	9.7E-6	1.3E-8	6.0E-9	1.5E-7	8.1E-6	6.7E-7
570	9.8E-6	1.3E-8	5.9E-9	1.5E-7	8.2E-6	6.8E-7
580	1.0E-5	1.3E-8	5.8E-9	1.5E-7	8.3E-6	7.0E-7
590	1.0E-5	1.3E-8	5.8E-9	1.5E-7	8.4E-6	7.1E-7
600	1.0E-5	1.3E-8	5.7E-9	1.5E-7	8.5E-6	7.2E-7
610	1.0E-5	1.3E-8	5.6E-9	1.5E-7	8.6E-6	7.4E-7
620	1.0E-5	1.3E-8	5.6E-9	1.5E-7	8.7E-6	7.5E-7
630	1.1E-5	1.3E-8	5.5E-9	1.5E-7	8.9E-6	7.7E-7
640	1.1E-5	1.3E-8	5.5E-9	1.5E-7	9.0E-6	7.8E-7
650	1.1E-5	1.3E-8	5.4E-9	1.5E-7	9.1E-6	7.9E-7
660	1.1E-5	1.3E-8	5.4E-9	1.5E-7	9.2E-6	8.1E-7
670	1.1E-5	1.3E-8	5.3E-9	1.5E-7	9.3E-6	8.2E-7
680	1.1E-5	1.3E-8	5.2E-9	1.5E-7	9.4E-6	8.4E-7
690	1.1E-5	1.3E-8	5.2E-9	1.5E-7	9.6E-6	8.5E-7
700	1.2E-5	1.3E-8	5.1E-9	1.5E-7	9.7E-6	8.6E-7
710	1.2E-5	1.3E-8	5.1E-9	1.5E-7	9.8E-6	8.8E-7
720	1.2E-5	1.3E-8	5.0E-9	1.5E-7	9.9E-6	8.9E-7
730	1.2E-5	1.2E-8	5.0E-9	1.5E-7	1.0E-5	9.0E-7
740	1.2E-5	1.2E-8	4.9E-9	1.5E-7	1.0E-5	9.2E-7
750	1.2E-5	1.2E-8	4.9E-9	1.5E-7	1.0E-5	9.3E-7
760	1.2E-5	1.2E-8	4.8E-9	1.5E-7	1.0E-5	9.4E-7
770	1.3E-5	1.2E-8	4.8E-9	1.5E-7	1.0E-5	9.5E-7
780	1.3E-5	1.2E-8	4.7E-9	1.5E-7	1.1E-5	9.7E-7
790	1.3E-5	1.2E-8	4.7E-9	1.5E-7	1.1E-5	9.8E-7
800	1.3E-5	1.2E-8	4.6E-9	1.5E-7	1.1E-5	9.9E-7
810	1.3E-5	1.2E-8	4.6E-9	1.5E-7	1.1E-5	1.0E-6
820	1.3E-5	1.2E-8	4.6E-9	1.5E-7	1.1E-5	1.0E-6
830	1.3E-5	1.2E-8	4.5E-9	1.5E-7	1.1E-5	1.0E-6
840	1.3E-5	1.2E-8	4.5E-9	1.5E-7	1.1E-5	1.0E-6
850	1.4E-5	1.2E-8	4.4E-9	1.5E-7	1.1E-5	1.1E-6
860	1.4E-5	1.2E-8	4.4E-9	1.5E-7	1.2E-5	1.1E-6
870	1.4E-5	1.2E-8	4.4E-9	1.5E-7	1.2E-5	1.1E-6
880	1.4E-5	1.2E-8	4.3E-9	1.5E-7	1.2E-5	1.1E-6
890	1.4E-5	1.2E-8	4.3E-9	1.5E-7	1.2E-5	1.1E-6
900	1.4E-5	1.2E-8	4.2E-9	1.5E-7	1.2E-5	1.1E-6
910	1.4E-5	1.2E-8	4.2E-9	1.5E-7	1.2E-5	1.1E-6
920	1.5E-5	1.2E-8	4.2E-9	1.5E-7	1.2E-5	1.1E-6
930	1.5E-5	1.2E-8	4.1E-9	1.5E-7	1.2E-5	1.1E-6
940	1.5E-5	1.2E-8	4.1E-9	1.5E-7	1.2E-5	1.2E-6
950	1.5E-5	1.2E-8	4.1E-9	1.5E-7	1.3E-5	1.2E-6
960	1.5E-5	1.2E-8	4.0E-9	1.5E-7	1.3E-5	1.2E-6
970	1.5E-5	1.2E-8	4.0E-9	1.5E-7	1.3E-5	1.2E-6
980	1.5E-5	1.2E-8	4.0E-9	1.5E-7	1.3E-5	1.2E-6
990	1.5E-5	1.2E-8	3.9E-9	1.5E-7	1.3E-5	1.2E-6
1000	1.6E-5	1.2E-8	3.9E-9	1.5E-7	1.3E-5	1.2E-6
1010	1.6E-5	1.2E-8	3.9E-9	1.5E-7	1.3E-5	1.2E-6
1020	1.6E-5	1.2E-8	3.8E-9	1.5E-7	1.3E-5	1.2E-6
1030	1.6E-5	1.2E-8	3.8E-9	1.5E-7	1.4E-5	1.3E-6
1040	1.6E-5	1.2E-8	3.8E-9	1.5E-7	1.4E-5	1.3E-6
1050	1.6E-5	1.2E-8	3.7E-9	1.5E-7	1.4E-5	1.3E-6
1060	1.6E-5	1.2E-8	3.7E-9	1.5E-7	1.4E-5	1.3E-6
1070	1.6E-5	1.2E-8	3.7E-9	1.5E-7	1.4E-5	1.3E-6
1080	1.7E-5	1.2E-8	3.7E-9	1.5E-7	1.4E-5	1.3E-6
1090	1.7E-5	1.2E-8	3.6E-9	1.5E-7	1.4E-5	1.3E-6
1095	1.7E-5	1.2E-8	3.6E-9	1.5E-7	1.4E-5	1.3E-6
1100	1.7E-5	1.2E-8	3.6E-9	1.5E-7	1.4E-5	1.3E-6
1200	1.8E-5	1.1E-8	3.3E-9	1.5E-7	1.6E-5	1.4E-6
1300	1.9E-5	1.1E-8	3.1E-9	1.5E-7	1.7E-5	1.5E-6
1400	2.1E-5	1.1E-8	2.9E-9	1.5E-7	1.8E-5	1.6E-6
1500	2.2E-5	1.1E-8	2.8E-9	1.5E-7	1.9E-5	1.6E-6
1600	2.3E-5	1.0E-8	2.6E-9	1.5E-7	2.0E-5	1.7E-6
1700	2.4E-5	1.0E-8	2.5E-9	1.5E-7	2.1E-5	1.7E-6
1800	2.5E-5	1.0E-8	2.4E-9	1.5E-7	2.2E-5	1.8E-6
1900	2.6E-5	9.9E-9	2.3E-9	1.4E-7	2.3E-5	1.8E-6
2000	2.7E-5	9.7E-9	2.2E-9	1.4E-7	2.4E-5	1.9E-6
2100	2.8E-5	9.6E-9	2.2E-9	1.4E-7	2.5E-5	1.9E-6
2200	2.9E-5	9.4E-9	2.1E-9	1.4E-7	2.6E-5	1.9E-6
2300	3.0E-5	9.3E-9	2.0E-9	1.4E-7	2.7E-5	1.9E-6
2400	3.1E-5	9.1E-9	2.0E-9	1.4E-7	2.8E-5	1.9E-6
2500	3.2E-5	9.0E-9	1.9E-9	1.4E-7	2.9E-5	2.0E-6
2600	3.3E-5	8.8E-9	1.9E-9	1.4E-7	2.9E-5	2.0E-6
2700	3.4E-5	8.7E-9	1.9E-9	1.4E-7	3.0E-5	2.0E-6
2800	3.4E-5	8.6E-9	1.8E-9	1.4E-7	3.1E-5	2.0E-6
2900	3.5E-5	8.5E-9	1.8E-9	1.4E-7	3.2E-5	2.0E-6
3000	3.6E-5	8.4E-9	1.8E-9	1.4E-7	3.3E-5	2.0E-6
3100	3.7E-5	8.3E-9	1.7E-9	1.4E-7	3.3E-5	2.0E-6
3200	3.7E-5	8.1E-9	1.7E-9	1.4E-7	3.4E-5	2.0E-6
3300	3.8E-5	8.0E-9	1.7E-9	1.4E-7	3.5E-5	2.0E-6
3400	3.9E-5	7.9E-9	1.6E-9	1.4E-7	3.5E-5	2.0E-6
3500	3.9E-5	7.9E-9	1.6E-9	1.4E-7	3.6E-5	2.0E-6
3600	4.0E-5	7.8E-9	1.6E-9	1.4E-7	3.7E-5	2.0E-6
3650	4.0E-5	7.7E-9	1.6E-9	1.4E-7	3.7E-5	2.0E-6
4000	4.2E-5	7.4E-9	1.5E-9	1.4E-7	3.9E-5	2.0E-6
5000	4.7E-5	6.7E-9	1.4E-9	1.3E-7	4.4E-5	1.9E-6
6000	5.1E-5	6.2E-9	1.2E-9	1.3E-7	4.8E-5	1.8E-6
7000	5.4E-5	5.8E-9	1.1E-9	1.3E-7	5.2E-5	1.7E-6
8000	5.7E-5	5.4E-9	1.1E-9	1.2E-7	5.5E-5	1.6E-6
9000	6.0E-5	5.2E-9	1.0E-9	1.2E-7	5.8E-5	1.5E-6
10000	6.3E-5	4.9E-9	9.8E-10	1.2E-7	6.1E-5	1.4E-6
11000	6.5E-5	4.8E-9	9.4E-10	1.1E-7	6.3E-5	1.4E-6
12000	6.7E-5	4.6E-9	9.1E-10	1.1E-7	6.5E-5	1.3E-6
13000	6.9E-5	4.5E-9	8.8E-10	1.1E-7	6.7E-5	1.2E-6
14000	7.1E-5	4.4E-9	8.6E-10	1.1E-7	6.9E-5	1.2E-6
15000	7.2E-5	4.3E-9	8.3E-10	1.0E-7	7.0E-5	1.1E-6
16000	7.3E-5	4.2E-9	8.1E-10	1.0E-7	7.1E-5	1.1E-6
17000	7.4E-5	4.1E-9	8.0E-10	9.9E-8	7.2E-5	1.0E-6
18000	7.5E-5	4.0E-9	7.8E-10	9.7E-8	7.3E-5	1.0E-6
18250	7.5E-5	4.0E-9	7.8E-10	9.6E-8	7.3E-5	9.9E-7
