Radionuclide	Sr-82
Route of Intake	Inhalation
Material	Aerosols Type M, Fuel fragments, all unspecified forms, fA=5E-2
AMTD/AMAD, µm	0.03

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Lungs*	Skeleton*
98	1.5E-2	4.3E-5	3.3E-5	6.4E-5	1.2E-2	3.0E-3
99	1.5E-2	4.1E-5	3.2E-5	6.2E-5	1.1E-2	2.9E-3
100	1.4E-2	4.0E-5	3.1E-5	6.0E-5	1.1E-2	2.8E-3
110	1.0E-2	2.8E-5	2.2E-5	4.2E-5	7.8E-3	2.2E-3
120	7.5E-3	2.0E-5	1.6E-5	3.0E-5	5.5E-3	1.7E-3
130	5.4E-3	1.5E-5	1.1E-5	2.1E-5	3.9E-3	1.3E-3
140	3.9E-3	1.0E-5	7.8E-6	1.5E-5	2.8E-3	1.0E-3
150	2.9E-3	7.5E-6	5.5E-6	1.1E-5	2.0E-3	7.8E-4
160	2.1E-3	5.4E-6	3.9E-6	7.6E-6	1.4E-3	6.0E-4
170	1.5E-3	3.8E-6	2.8E-6	5.4E-6	1.0E-3	4.6E-4
180	1.1E-3	2.8E-6	2.0E-6	3.8E-6	7.2E-4	3.5E-4
190	8.0E-4	2.0E-6	1.4E-6	2.7E-6	5.1E-4	2.7E-4
200	5.9E-4	1.4E-6	9.9E-7	1.9E-6	3.6E-4	2.1E-4
210	4.3E-4	1.0E-6	7.0E-7	1.4E-6	2.6E-4	1.6E-4
220	3.1E-4	7.3E-7	5.0E-7	9.8E-7	1.8E-4	1.2E-4
230	2.3E-4	5.3E-7	3.5E-7	7.0E-7	1.3E-4	9.2E-5
240	1.7E-4	3.8E-7	2.5E-7	5.0E-7	9.4E-5	7.0E-5
250	1.2E-4	2.7E-7	1.8E-7	3.5E-7	6.7E-5	5.3E-5
260	9.1E-5	1.9E-7	1.3E-7	2.5E-7	4.8E-5	4.1E-5
270	6.7E-5	1.4E-7	9.0E-8	1.8E-7	3.4E-5	3.1E-5
280	4.9E-5	1.0E-7	6.4E-8	1.3E-7	2.4E-5	2.3E-5
290	3.6E-5	7.2E-8	4.5E-8	9.1E-8	1.7E-5	1.8E-5
300	2.7E-5	5.2E-8	3.2E-8	6.5E-8	1.2E-5	1.4E-5
310	2.0E-5	3.7E-8	2.3E-8	4.6E-8	8.8E-6	1.0E-5
320	1.4E-5	2.7E-8	1.6E-8	3.3E-8	6.3E-6	7.8E-6
330	1.1E-5	1.9E-8	1.2E-8	2.4E-8	4.5E-6	5.9E-6
340	7.9E-6	1.4E-8	8.2E-9	1.7E-8	3.2E-6	4.5E-6
350	5.9E-6	1.0E-8	5.8E-9	1.2E-8	2.3E-6	3.4E-6
360	4.3E-6	7.2E-9	4.2E-9	8.5E-9	1.6E-6	2.6E-6
365	3.7E-6	6.1E-9	3.5E-9	7.2E-9	1.4E-6	2.3E-6
370	3.2E-6	5.2E-9	3.0E-9	6.1E-9	1.2E-6	2.0E-6
380	2.4E-6	3.8E-9	2.1E-9	4.3E-9	8.4E-7	1.5E-6
390	1.8E-6	2.7E-9	1.5E-9	3.1E-9	6.0E-7	1.1E-6
400	1.3E-6	2.0E-9	1.1E-9	2.2E-9	4.3E-7	8.6E-7
410	9.8E-7	1.4E-9	7.6E-10	1.5E-9	3.1E-7	6.5E-7
420	7.3E-7	1.0E-9	5.4E-10	1.1E-9	2.2E-7	4.9E-7
430	5.4E-7	7.3E-10	3.9E-10	8.0E-10	1.6E-7	3.8E-7
440	4.1E-7	5.3E-10	2.8E-10	5.7E-10	1.1E-7	2.8E-7
450	3.0E-7	3.8E-10	2.0E-10	1.2E-10	8.1E-8	2.2E-7
460	2.3E-7	2.8E-10	1.4E-10	-	5.8E-8	1.6E-7
470	1.7E-7	2.0E-10	1.0E-10	-	4.2E-8	1.2E-7
480	1.3E-7	1.4E-10	-	-	3.0E-8	9.4E-8
490	9.4E-8	1.0E-10	-	-	2.1E-8	7.1E-8
500	7.1E-8	-	-	-	1.5E-8	5.4E-8
510	5.3E-8	-	-	-	1.1E-8	4.1E-8
520	4.0E-8	-	-	-	7.8E-9	3.1E-8
530	3.0E-8	-	-	-	5.6E-9	2.3E-8
540	2.2E-8	-	-	-	4.0E-9	1.8E-8
550	1.7E-8	-	-	-	2.9E-9	1.4E-8
560	1.3E-8	-	-	-	2.1E-9	1.0E-8
570	9.5E-9	-	-	-	1.5E-9	7.8E-9
580	7.1E-9	-	-	-	1.1E-9	5.9E-9
590	5.3E-9	-	-	-	7.6E-10	4.5E-9
600	4.0E-9	-	-	-	5.5E-10	3.4E-9
610	3.0E-9	-	-	-	3.9E-10	2.6E-9
620	2.3E-9	-	-	-	2.8E-10	2.0E-9
630	1.7E-9	-	-	-	1.3E-10	1.5E-9
640	1.3E-9	-	-	-	-	1.1E-9
650	9.8E-10	-	-	-	-	8.5E-10
660	7.4E-10	-	-	-	-	6.5E-10
670	5.5E-10	-	-	-	-	4.9E-10
680	4.2E-10	-	-	-	-	3.7E-10
690	3.2E-10	-	-	-	-	2.8E-10
700	2.4E-10	-	-	-	-	2.1E-10
710	1.8E-10	-	-	-	-	-
720	1.4E-10	-	-	-	-	-
730	1.0E-10	-	-	-	-	-
