Radionuclide	I-126
Route of Intake	Ingestion
Material	All unspecified forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Thyroid*	Liver*
32	4.8E-2	1.9E-4	7.1E-5	2.1E-4	4.4E-2	9.5E-4
33	4.5E-2	1.8E-4	6.7E-5	2.0E-4	4.2E-2	9.0E-4
34	4.3E-2	1.7E-4	6.4E-5	1.9E-4	3.9E-2	8.5E-4
35	4.0E-2	1.6E-4	6.0E-5	1.8E-4	3.7E-2	8.1E-4
36	3.8E-2	1.5E-4	5.7E-5	1.7E-4	3.5E-2	7.6E-4
37	3.6E-2	1.4E-4	5.4E-5	1.6E-4	3.3E-2	7.2E-4
38	3.4E-2	1.4E-4	5.1E-5	1.5E-4	3.1E-2	6.8E-4
39	3.2E-2	1.3E-4	4.8E-5	1.4E-4	2.9E-2	6.4E-4
40	3.0E-2	1.2E-4	4.6E-5	1.3E-4	2.8E-2	6.1E-4
41	2.8E-2	1.2E-4	4.3E-5	1.3E-4	2.6E-2	5.7E-4
42	2.7E-2	1.1E-4	4.1E-5	1.2E-4	2.5E-2	5.4E-4
43	2.5E-2	1.0E-4	3.8E-5	1.1E-4	2.3E-2	5.1E-4
44	2.4E-2	9.7E-5	3.6E-5	1.1E-4	2.2E-2	4.8E-4
45	2.2E-2	9.2E-5	3.4E-5	1.0E-4	2.1E-2	4.5E-4
46	2.1E-2	8.6E-5	3.2E-5	9.4E-5	1.9E-2	4.3E-4
47	2.0E-2	8.1E-5	3.0E-5	8.9E-5	1.8E-2	4.0E-4
48	1.9E-2	7.7E-5	2.9E-5	8.4E-5	1.7E-2	3.8E-4
49	1.8E-2	7.3E-5	2.7E-5	7.9E-5	1.6E-2	3.6E-4
50	1.7E-2	6.8E-5	2.6E-5	7.5E-5	1.5E-2	3.4E-4
51	1.6E-2	6.5E-5	2.4E-5	7.0E-5	1.4E-2	3.2E-4
52	1.5E-2	6.1E-5	2.3E-5	6.6E-5	1.4E-2	3.0E-4
53	1.4E-2	5.7E-5	2.1E-5	6.3E-5	1.3E-2	2.8E-4
54	1.3E-2	5.4E-5	2.0E-5	5.9E-5	1.2E-2	2.7E-4
55	1.2E-2	5.1E-5	1.9E-5	5.6E-5	1.1E-2	2.5E-4
56	1.2E-2	4.8E-5	1.8E-5	5.2E-5	1.1E-2	2.4E-4
57	1.1E-2	4.5E-5	1.7E-5	4.9E-5	1.0E-2	2.3E-4
58	1.0E-2	4.3E-5	1.6E-5	4.7E-5	9.5E-3	2.1E-4
59	9.7E-3	4.0E-5	1.5E-5	4.4E-5	9.0E-3	2.0E-4
60	9.2E-3	3.8E-5	1.4E-5	4.1E-5	8.4E-3	1.9E-4
61	8.6E-3	3.6E-5	1.3E-5	3.9E-5	8.0E-3	1.8E-4
62	8.1E-3	3.4E-5	1.3E-5	3.7E-5	7.5E-3	1.7E-4
63	7.7E-3	3.2E-5	1.2E-5	3.5E-5	7.1E-3	1.6E-4
64	7.2E-3	3.0E-5	1.1E-5	3.3E-5	6.7E-3	1.5E-4
65	6.8E-3	2.8E-5	1.1E-5	3.1E-5	6.3E-3	1.4E-4
66	6.4E-3	2.7E-5	1.0E-5	2.9E-5	5.9E-3	1.3E-4
67	6.1E-3	2.5E-5	9.4E-6	2.7E-5	5.6E-3	1.2E-4
68	5.7E-3	2.4E-5	8.9E-6	2.6E-5	5.3E-3	1.2E-4
69	5.4E-3	2.2E-5	8.4E-6	2.4E-5	5.0E-3	1.1E-4
70	5.1E-3	2.1E-5	7.9E-6	2.3E-5	4.7E-3	1.0E-4
71	4.8E-3	2.0E-5	7.4E-6	2.2E-5	4.4E-3	9.8E-5
72	4.5E-3	1.9E-5	7.0E-6	2.0E-5	4.1E-3	9.3E-5
73	4.2E-3	1.8E-5	6.6E-6	1.9E-5	3.9E-3	8.7E-5
74	4.0E-3	1.7E-5	6.2E-6	1.8E-5	3.7E-3	8.2E-5
75	3.8E-3	1.6E-5	5.9E-6	1.7E-5	3.5E-3	7.8E-5
76	3.6E-3	1.5E-5	5.5E-6	1.6E-5	3.3E-3	7.3E-5
77	3.3E-3	1.4E-5	5.2E-6	1.5E-5	3.1E-3	6.9E-5
78	3.2E-3	1.3E-5	4.9E-6	1.4E-5	2.9E-3	6.5E-5
79	3.0E-3	1.2E-5	4.6E-6	1.3E-5	2.7E-3	6.1E-5
80	2.8E-3	1.2E-5	4.4E-6	1.3E-5	2.6E-3	5.8E-5
81	2.6E-3	1.1E-5	4.1E-6	1.2E-5	2.4E-3	5.4E-5
82	2.5E-3	1.0E-5	3.9E-6	1.1E-5	2.3E-3	5.1E-5
83	2.3E-3	9.7E-6	3.6E-6	1.1E-5	2.2E-3	4.8E-5
84	2.2E-3	9.2E-6	3.4E-6	1.0E-5	2.0E-3	4.6E-5
85	2.1E-3	8.7E-6	3.2E-6	9.4E-6	1.9E-3	4.3E-5
86	2.0E-3	8.2E-6	3.1E-6	8.9E-6	1.8E-3	4.0E-5
87	1.8E-3	7.7E-6	2.9E-6	8.4E-6	1.7E-3	3.8E-5
88	1.7E-3	7.2E-6	2.7E-6	7.9E-6	1.6E-3	3.6E-5
89	1.6E-3	6.8E-6	2.6E-6	7.4E-6	1.5E-3	3.4E-5
90	1.5E-3	6.4E-6	2.4E-6	7.0E-6	1.4E-3	3.2E-5
91	1.5E-3	6.1E-6	2.3E-6	6.6E-6	1.3E-3	3.0E-5
92	1.4E-3	5.7E-6	2.1E-6	6.2E-6	1.3E-3	2.8E-5
93	1.3E-3	5.4E-6	2.0E-6	5.9E-6	1.2E-3	2.7E-5
94	1.2E-3	5.1E-6	1.9E-6	5.5E-6	1.1E-3	2.5E-5
95	1.2E-3	4.8E-6	1.8E-6	5.2E-6	1.1E-3	2.4E-5
96	1.1E-3	4.5E-6	1.7E-6	4.9E-6	1.0E-3	2.2E-5
97	1.0E-3	4.2E-6	1.6E-6	4.6E-6	9.4E-4	2.1E-5
98	9.6E-4	4.0E-6	1.5E-6	4.4E-6	8.9E-4	2.0E-5
99	9.1E-4	3.8E-6	1.4E-6	4.1E-6	8.4E-4	1.9E-5
100	8.6E-4	3.6E-6	1.3E-6	3.9E-6	7.9E-4	1.8E-5
110	4.7E-4	2.0E-6	7.4E-7	2.1E-6	4.4E-4	9.7E-6
120	2.6E-4	1.1E-6	4.1E-7	1.2E-6	2.4E-4	5.4E-6
130	1.4E-4	6.0E-7	2.2E-7	6.5E-7	1.3E-4	3.0E-6
140	8.0E-5	3.3E-7	1.2E-7	3.6E-7	7.3E-5	1.6E-6
150	4.4E-5	1.8E-7	6.9E-8	2.0E-7	4.1E-5	9.1E-7
160	2.4E-5	1.0E-7	3.8E-8	1.1E-7	2.2E-5	5.0E-7
170	1.3E-5	5.6E-8	2.1E-8	6.1E-8	1.2E-5	2.8E-7
180	7.4E-6	3.1E-8	1.2E-8	3.4E-8	6.9E-6	1.5E-7
190	4.1E-6	1.7E-8	6.4E-9	1.9E-8	3.8E-6	8.5E-8
200	2.3E-6	9.5E-9	3.5E-9	1.0E-8	2.1E-6	4.7E-8
210	1.3E-6	5.2E-9	2.0E-9	5.7E-9	1.2E-6	2.6E-8
220	6.9E-7	2.9E-9	1.1E-9	3.1E-9	6.4E-7	1.4E-8
230	3.8E-7	1.6E-9	6.0E-10	1.7E-9	3.5E-7	7.9E-9
240	2.1E-7	8.8E-10	3.3E-10	9.6E-10	2.0E-7	4.4E-9
250	1.2E-7	4.9E-10	1.8E-10	5.3E-10	1.1E-7	2.4E-9
260	6.5E-8	2.7E-10	1.0E-10	2.9E-10	6.0E-8	1.3E-9
270	3.6E-8	1.5E-10	-	1.6E-10	3.3E-8	7.4E-10
280	2.0E-8	-	-	-	1.8E-8	4.1E-10
290	1.1E-8	-	-	-	1.0E-8	2.3E-10
300	6.0E-9	-	-	-	5.6E-9	1.2E-10
310	3.3E-9	-	-	-	3.1E-9	-
320	1.8E-9	-	-	-	1.7E-9	-
330	1.0E-9	-	-	-	9.4E-10	-
340	5.6E-10	-	-	-	5.2E-10	-
350	3.1E-10	-	-	-	2.9E-10	-
360	1.7E-10	-	-	-	1.6E-10	-
365	1.3E-10	-	-	-	1.2E-10	-
