Radionuclide	U-238
Route of Intake	Injection
Material	Injection, fA=2E-2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
22	9.1E-2	3.8E-3	1.6E-5	1.9E-4	6.5E-2	4.4E-3
23	9.2E-2	3.6E-3	1.5E-5	1.9E-4	6.6E-2	4.4E-3
24	9.3E-2	3.4E-3	1.4E-5	1.9E-4	6.8E-2	4.5E-3
25	9.3E-2	3.2E-3	1.4E-5	1.9E-4	6.9E-2	4.5E-3
26	9.4E-2	3.0E-3	1.3E-5	1.9E-4	7.0E-2	4.5E-3
27	9.5E-2	2.8E-3	1.2E-5	1.8E-4	7.1E-2	4.5E-3
28	9.5E-2	2.7E-3	1.2E-5	1.8E-4	7.2E-2	4.5E-3
29	9.6E-2	2.5E-3	1.2E-5	1.8E-4	7.3E-2	4.5E-3
30	9.6E-2	2.4E-3	1.1E-5	1.8E-4	7.4E-2	4.4E-3
31	9.6E-2	2.3E-3	1.1E-5	1.7E-4	7.5E-2	4.4E-3
32	9.7E-2	2.2E-3	1.0E-5	1.7E-4	7.5E-2	4.4E-3
33	9.7E-2	2.0E-3	1.0E-5	1.7E-4	7.6E-2	4.4E-3
34	9.7E-2	2.0E-3	9.6E-6	1.7E-4	7.7E-2	4.4E-3
35	9.7E-2	1.9E-3	9.3E-6	1.7E-4	7.7E-2	4.3E-3
36	9.7E-2	1.8E-3	9.0E-6	1.6E-4	7.8E-2	4.3E-3
37	9.7E-2	1.7E-3	8.8E-6	1.6E-4	7.9E-2	4.3E-3
38	9.8E-2	1.6E-3	8.5E-6	1.6E-4	7.9E-2	4.3E-3
39	9.8E-2	1.6E-3	8.3E-6	1.6E-4	8.0E-2	4.2E-3
40	9.8E-2	1.5E-3	8.0E-6	1.5E-4	8.0E-2	4.2E-3
41	9.8E-2	1.4E-3	7.8E-6	1.5E-4	8.0E-2	4.2E-3
42	9.7E-2	1.4E-3	7.6E-6	1.5E-4	8.1E-2	4.1E-3
43	9.7E-2	1.3E-3	7.4E-6	1.5E-4	8.1E-2	4.1E-3
44	9.7E-2	1.3E-3	7.2E-6	1.5E-4	8.1E-2	4.0E-3
45	9.7E-2	1.2E-3	7.0E-6	1.4E-4	8.1E-2	4.0E-3
46	9.7E-2	1.2E-3	6.8E-6	1.4E-4	8.2E-2	4.0E-3
47	9.7E-2	1.2E-3	6.7E-6	1.4E-4	8.2E-2	3.9E-3
48	9.7E-2	1.1E-3	6.5E-6	1.4E-4	8.2E-2	3.9E-3
49	9.6E-2	1.1E-3	6.3E-6	1.4E-4	8.2E-2	3.9E-3
50	9.6E-2	1.1E-3	6.2E-6	1.3E-4	8.2E-2	3.8E-3
51	9.6E-2	1.0E-3	6.0E-6	1.3E-4	8.2E-2	3.8E-3
52	9.6E-2	9.9E-4	5.9E-6	1.3E-4	8.2E-2	3.7E-3
53	9.6E-2	9.6E-4	5.8E-6	1.3E-4	8.2E-2	3.7E-3
54	9.5E-2	9.3E-4	5.6E-6	1.3E-4	8.2E-2	3.7E-3
55	9.5E-2	9.1E-4	5.5E-6	1.2E-4	8.2E-2	3.6E-3
56	9.5E-2	8.8E-4	5.4E-6	1.2E-4	8.2E-2	3.6E-3
57	9.4E-2	8.6E-4	5.3E-6	1.2E-4	8.2E-2	3.6E-3
58	9.4E-2	8.4E-4	5.2E-6	1.2E-4	8.2E-2	3.5E-3
59	9.4E-2	8.2E-4	5.0E-6	1.2E-4	8.2E-2	3.5E-3
60	9.4E-2	8.0E-4	4.9E-6	1.1E-4	8.2E-2	3.5E-3
61	9.3E-2	7.8E-4	4.8E-6	1.1E-4	8.2E-2	3.4E-3
62	9.3E-2	7.6E-4	4.7E-6	1.1E-4	8.2E-2	3.4E-3
63	9.3E-2	7.4E-4	4.6E-6	1.1E-4	8.2E-2	3.3E-3
64	9.2E-2	7.2E-4	4.5E-6	1.1E-4	8.1E-2	3.3E-3
65	9.2E-2	7.0E-4	4.4E-6	1.1E-4	8.1E-2	3.3E-3
66	9.1E-2	6.9E-4	4.3E-6	1.0E-4	8.1E-2	3.2E-3
67	9.1E-2	6.7E-4	4.3E-6	1.0E-4	8.1E-2	3.2E-3
68	9.1E-2	6.6E-4	4.2E-6	1.0E-4	8.1E-2	3.2E-3
69	9.0E-2	6.4E-4	4.1E-6	1.0E-4	8.1E-2	3.1E-3
70	9.0E-2	6.3E-4	4.0E-6	9.9E-5	8.0E-2	3.1E-3
71	9.0E-2	6.1E-4	3.9E-6	9.7E-5	8.0E-2	3.1E-3
72	8.9E-2	6.0E-4	3.9E-6	9.6E-5	8.0E-2	3.0E-3
73	8.9E-2	5.9E-4	3.8E-6	9.4E-5	8.0E-2	3.0E-3
74	8.9E-2	5.8E-4	3.7E-6	9.3E-5	7.9E-2	3.0E-3
75	8.8E-2	5.6E-4	3.6E-6	9.1E-5	7.9E-2	3.0E-3
76	8.8E-2	5.5E-4	3.6E-6	9.0E-5	7.9E-2	2.9E-3
77	8.7E-2	5.4E-4	3.5E-6	8.9E-5	7.9E-2	2.9E-3
78	8.7E-2	5.3E-4	3.4E-6	8.7E-5	7.8E-2	2.9E-3
79	8.7E-2	5.2E-4	3.4E-6	8.6E-5	7.8E-2	2.8E-3
80	8.6E-2	5.1E-4	3.3E-6	8.5E-5	7.8E-2	2.8E-3
81	8.6E-2	5.0E-4	3.2E-6	8.4E-5	7.8E-2	2.8E-3
82	8.5E-2	4.9E-4	3.2E-6	8.2E-5	7.7E-2	2.8E-3
83	8.5E-2	4.8E-4	3.1E-6	8.1E-5	7.7E-2	2.7E-3
84	8.5E-2	4.7E-4	3.1E-6	8.0E-5	7.7E-2	2.7E-3
85	8.4E-2	4.6E-4	3.0E-6	7.9E-5	7.6E-2	2.7E-3
86	8.4E-2	4.5E-4	2.9E-6	7.8E-5	7.6E-2	2.7E-3
87	8.3E-2	4.4E-4	2.9E-6	7.6E-5	7.6E-2	2.6E-3
88	8.3E-2	4.4E-4	2.8E-6	7.5E-5	7.6E-2	2.6E-3
89	8.3E-2	4.3E-4	2.8E-6	7.4E-5	7.5E-2	2.6E-3
90	8.2E-2	4.2E-4	2.7E-6	7.3E-5	7.5E-2	2.6E-3
91	8.2E-2	4.1E-4	2.7E-6	7.2E-5	7.5E-2	2.5E-3
92	8.1E-2	4.0E-4	2.6E-6	7.1E-5	7.4E-2	2.5E-3
93	8.1E-2	4.0E-4	2.6E-6	7.0E-5	7.4E-2	2.5E-3
94	8.1E-2	3.9E-4	2.6E-6	6.9E-5	7.4E-2	2.5E-3
95	8.0E-2	3.8E-4	2.5E-6	6.8E-5	7.3E-2	2.5E-3
96	8.0E-2	3.8E-4	2.5E-6	6.7E-5	7.3E-2	2.4E-3
97	7.9E-2	3.7E-4	2.4E-6	6.6E-5	7.3E-2	2.4E-3
98	7.9E-2	3.6E-4	2.4E-6	6.5E-5	7.2E-2	2.4E-3
99	7.9E-2	3.6E-4	2.3E-6	6.4E-5	7.2E-2	2.4E-3
100	7.8E-2	3.5E-4	2.3E-6	6.4E-5	7.2E-2	2.4E-3
110	7.5E-2	3.0E-4	1.9E-6	5.6E-5	6.9E-2	2.2E-3
120	7.1E-2	2.5E-4	1.7E-6	4.9E-5	6.6E-2	2.1E-3
130	6.8E-2	2.2E-4	1.4E-6	4.4E-5	6.3E-2	1.9E-3
140	6.5E-2	1.9E-4	1.2E-6	4.0E-5	6.0E-2	1.9E-3
150	6.2E-2	1.6E-4	1.1E-6	3.6E-5	5.8E-2	1.8E-3
160	6.0E-2	1.4E-4	9.3E-7	3.4E-5	5.6E-2	1.7E-3
170	5.8E-2	1.2E-4	8.2E-7	3.2E-5	5.4E-2	1.7E-3
180	5.6E-2	1.1E-4	7.2E-7	3.0E-5	5.2E-2	1.6E-3
190	5.4E-2	9.7E-5	6.4E-7	2.8E-5	5.1E-2	1.6E-3
200	5.3E-2	8.6E-5	5.7E-7	2.7E-5	4.9E-2	1.6E-3
210	5.1E-2	7.6E-5	5.0E-7	2.6E-5	4.8E-2	1.6E-3
220	5.0E-2	6.8E-5	4.5E-7	2.5E-5	4.7E-2	1.5E-3
230	4.9E-2	6.1E-5	4.0E-7	2.5E-5	4.6E-2	1.5E-3
240	4.8E-2	5.5E-5	3.6E-7	2.4E-5	4.5E-2	1.5E-3
250	4.7E-2	5.0E-5	3.3E-7	2.4E-5	4.4E-2	1.5E-3
260	4.7E-2	4.5E-5	3.0E-7	2.4E-5	4.3E-2	1.5E-3
270	4.6E-2	4.1E-5	2.7E-7	2.3E-5	4.3E-2	1.5E-3
280	4.5E-2	3.7E-5	2.5E-7	2.3E-5	4.2E-2	1.5E-3
290	4.5E-2	3.4E-5	2.2E-7	2.3E-5	4.2E-2	1.5E-3
300	4.4E-2	3.1E-5	2.1E-7	2.3E-5	4.1E-2	1.5E-3
310	4.4E-2	2.9E-5	1.9E-7	2.3E-5	4.1E-2	1.5E-3
320	4.3E-2	2.6E-5	1.8E-7	2.3E-5	4.0E-2	1.5E-3
330	4.3E-2	2.5E-5	1.6E-7	2.2E-5	4.0E-2	1.5E-3
340	4.3E-2	2.3E-5	1.5E-7	2.2E-5	4.0E-2	1.5E-3
350	4.2E-2	2.1E-5	1.4E-7	2.2E-5	3.9E-2	1.5E-3
360	4.2E-2	2.0E-5	1.3E-7	2.2E-5	3.9E-2	1.4E-3
365	4.2E-2	1.9E-5	1.3E-7	2.2E-5	3.9E-2	1.4E-3
370	4.2E-2	1.9E-5	1.2E-7	2.2E-5	3.9E-2	1.4E-3
380	4.2E-2	1.8E-5	1.2E-7	2.2E-5	3.9E-2	1.4E-3
390	4.1E-2	1.7E-5	1.1E-7	2.2E-5	3.8E-2	1.4E-3
400	4.1E-2	1.6E-5	1.1E-7	2.2E-5	3.8E-2	1.4E-3
410	4.1E-2	1.5E-5	1.0E-7	2.2E-5	3.8E-2	1.4E-3
420	4.1E-2	1.5E-5	9.8E-8	2.2E-5	3.8E-2	1.4E-3
430	4.1E-2	1.4E-5	9.4E-8	2.2E-5	3.8E-2	1.4E-3
440	4.1E-2	1.4E-5	9.0E-8	2.2E-5	3.8E-2	1.4E-3
450	4.0E-2	1.3E-5	8.7E-8	2.2E-5	3.7E-2	1.4E-3
460	4.0E-2	1.3E-5	8.5E-8	2.2E-5	3.7E-2	1.4E-3
470	4.0E-2	1.2E-5	8.2E-8	2.2E-5	3.7E-2	1.4E-3
480	4.0E-2	1.2E-5	8.0E-8	2.2E-5	3.7E-2	1.4E-3
490	4.0E-2	1.2E-5	7.8E-8	2.2E-5	3.7E-2	1.4E-3
500	4.0E-2	1.2E-5	7.7E-8	2.2E-5	3.7E-2	1.4E-3
510	4.0E-2	1.1E-5	7.5E-8	2.2E-5	3.7E-2	1.4E-3
520	3.9E-2	1.1E-5	7.4E-8	2.2E-5	3.6E-2	1.4E-3
530	3.9E-2	1.1E-5	7.2E-8	2.2E-5	3.6E-2	1.4E-3
540	3.9E-2	1.1E-5	7.1E-8	2.2E-5	3.6E-2	1.4E-3
550	3.9E-2	1.1E-5	7.0E-8	2.2E-5	3.6E-2	1.4E-3
560	3.9E-2	1.0E-5	6.9E-8	2.2E-5	3.6E-2	1.4E-3
570	3.9E-2	1.0E-5	6.8E-8	2.2E-5	3.6E-2	1.4E-3
580	3.9E-2	1.0E-5	6.8E-8	2.2E-5	3.6E-2	1.4E-3
590	3.9E-2	1.0E-5	6.7E-8	2.2E-5	3.6E-2	1.4E-3
600	3.8E-2	1.0E-5	6.6E-8	2.2E-5	3.6E-2	1.4E-3
610	3.8E-2	9.9E-6	6.6E-8	2.2E-5	3.6E-2	1.4E-3
620	3.8E-2	9.8E-6	6.5E-8	2.2E-5	3.5E-2	1.4E-3
630	3.8E-2	9.7E-6	6.5E-8	2.2E-5	3.5E-2	1.4E-3
640	3.8E-2	9.6E-6	6.4E-8	2.2E-5	3.5E-2	1.4E-3
650	3.8E-2	9.6E-6	6.4E-8	2.2E-5	3.5E-2	1.4E-3
660	3.8E-2	9.5E-6	6.3E-8	2.2E-5	3.5E-2	1.4E-3
670	3.8E-2	9.4E-6	6.3E-8	2.2E-5	3.5E-2	1.4E-3
680	3.8E-2	9.4E-6	6.2E-8	2.2E-5	3.5E-2	1.4E-3
690	3.8E-2	9.3E-6	6.2E-8	2.2E-5	3.5E-2	1.4E-3
700	3.7E-2	9.3E-6	6.2E-8	2.2E-5	3.5E-2	1.4E-3
710	3.7E-2	9.2E-6	6.1E-8	2.2E-5	3.5E-2	1.4E-3
720	3.7E-2	9.2E-6	6.1E-8	2.2E-5	3.4E-2	1.4E-3
730	3.7E-2	9.1E-6	6.1E-8	2.2E-5	3.4E-2	1.4E-3
740	3.7E-2	9.1E-6	6.0E-8	2.1E-5	3.4E-2	1.4E-3
750	3.7E-2	9.0E-6	6.0E-8	2.1E-5	3.4E-2	1.4E-3
760	3.7E-2	9.0E-6	6.0E-8	2.1E-5	3.4E-2	1.4E-3
770	3.7E-2	8.9E-6	5.9E-8	2.1E-5	3.4E-2	1.4E-3
780	3.7E-2	8.9E-6	5.9E-8	2.1E-5	3.4E-2	1.3E-3
790	3.7E-2	8.8E-6	5.9E-8	2.1E-5	3.4E-2	1.3E-3
800	3.7E-2	8.8E-6	5.8E-8	2.1E-5	3.4E-2	1.3E-3
810	3.6E-2	8.8E-6	5.8E-8	2.1E-5	3.4E-2	1.3E-3
820	3.6E-2	8.7E-6	5.8E-8	2.1E-5	3.4E-2	1.3E-3
830	3.6E-2	8.7E-6	5.8E-8	2.1E-5	3.4E-2	1.3E-3
840	3.6E-2	8.6E-6	5.7E-8	2.1E-5	3.3E-2	1.3E-3
850	3.6E-2	8.6E-6	5.7E-8	2.1E-5	3.3E-2	1.3E-3
860	3.6E-2	8.6E-6	5.7E-8	2.1E-5	3.3E-2	1.3E-3
870	3.6E-2	8.5E-6	5.7E-8	2.1E-5	3.3E-2	1.3E-3
880	3.6E-2	8.5E-6	5.6E-8	2.1E-5	3.3E-2	1.3E-3
890	3.6E-2	8.5E-6	5.6E-8	2.1E-5	3.3E-2	1.3E-3
900	3.6E-2	8.4E-6	5.6E-8	2.1E-5	3.3E-2	1.3E-3
910	3.6E-2	8.4E-6	5.6E-8	2.1E-5	3.3E-2	1.3E-3
920	3.6E-2	8.4E-6	5.6E-8	2.1E-5	3.3E-2	1.3E-3
930	3.5E-2	8.3E-6	5.5E-8	2.1E-5	3.3E-2	1.3E-3
940	3.5E-2	8.3E-6	5.5E-8	2.1E-5	3.3E-2	1.3E-3
950	3.5E-2	8.3E-6	5.5E-8	2.1E-5	3.3E-2	1.3E-3
960	3.5E-2	8.2E-6	5.5E-8	2.1E-5	3.2E-2	1.3E-3
970	3.5E-2	8.2E-6	5.4E-8	2.1E-5	3.2E-2	1.3E-3
980	3.5E-2	8.2E-6	5.4E-8	2.1E-5	3.2E-2	1.3E-3
990	3.5E-2	8.1E-6	5.4E-8	2.1E-5	3.2E-2	1.3E-3
1000	3.5E-2	8.1E-6	5.4E-8	2.1E-5	3.2E-2	1.3E-3
1010	3.5E-2	8.1E-6	5.3E-8	2.1E-5	3.2E-2	1.3E-3
1020	3.5E-2	8.0E-6	5.3E-8	2.1E-5	3.2E-2	1.3E-3
1030	3.5E-2	8.0E-6	5.3E-8	2.1E-5	3.2E-2	1.3E-3
1040	3.5E-2	8.0E-6	5.3E-8	2.1E-5	3.2E-2	1.3E-3
1050	3.4E-2	7.9E-6	5.3E-8	2.1E-5	3.2E-2	1.3E-3
1060	3.4E-2	7.9E-6	5.2E-8	2.1E-5	3.2E-2	1.3E-3
1070	3.4E-2	7.9E-6	5.2E-8	2.1E-5	3.2E-2	1.3E-3
1080	3.4E-2	7.8E-6	5.2E-8	2.1E-5	3.2E-2	1.3E-3
1090	3.4E-2	7.8E-6	5.2E-8	2.1E-5	3.1E-2	1.3E-3
1095	3.4E-2	7.8E-6	5.2E-8	2.1E-5	3.1E-2	1.3E-3
1100	3.4E-2	7.8E-6	5.2E-8	2.1E-5	3.1E-2	1.3E-3
1200	3.3E-2	7.5E-6	5.0E-8	2.1E-5	3.1E-2	1.3E-3
1300	3.3E-2	7.2E-6	4.8E-8	2.1E-5	3.0E-2	1.2E-3
1400	3.2E-2	6.9E-6	4.6E-8	2.1E-5	2.9E-2	1.2E-3
1500	3.1E-2	6.6E-6	4.4E-8	2.1E-5	2.9E-2	1.2E-3
1600	3.0E-2	6.4E-6	4.2E-8	2.1E-5	2.8E-2	1.2E-3
1700	3.0E-2	6.1E-6	4.1E-8	2.1E-5	2.7E-2	1.2E-3
1800	2.9E-2	5.9E-6	3.9E-8	2.1E-5	2.7E-2	1.1E-3
1900	2.9E-2	5.7E-6	3.8E-8	2.1E-5	2.6E-2	1.1E-3
2000	2.8E-2	5.5E-6	3.6E-8	2.1E-5	2.6E-2	1.1E-3
2100	2.8E-2	5.3E-6	3.5E-8	2.1E-5	2.5E-2	1.1E-3
2200	2.7E-2	5.1E-6	3.4E-8	2.0E-5	2.5E-2	1.1E-3
2300	2.6E-2	4.9E-6	3.2E-8	2.0E-5	2.4E-2	1.1E-3
2400	2.6E-2	4.7E-6	3.1E-8	2.0E-5	2.4E-2	1.0E-3
2500	2.6E-2	4.5E-6	3.0E-8	2.0E-5	2.3E-2	1.0E-3
2600	2.5E-2	4.4E-6	2.9E-8	2.0E-5	2.3E-2	1.0E-3
2700	2.5E-2	4.2E-6	2.8E-8	2.0E-5	2.2E-2	9.9E-4
2800	2.4E-2	4.1E-6	2.7E-8	2.0E-5	2.2E-2	9.8E-4
2900	2.4E-2	3.9E-6	2.6E-8	2.0E-5	2.2E-2	9.6E-4
3000	2.3E-2	3.8E-6	2.5E-8	2.0E-5	2.1E-2	9.5E-4
3100	2.3E-2	3.7E-6	2.4E-8	2.0E-5	2.1E-2	9.3E-4
3200	2.3E-2	3.6E-6	2.4E-8	2.0E-5	2.1E-2	9.2E-4
3300	2.2E-2	3.4E-6	2.3E-8	2.0E-5	2.0E-2	9.1E-4
3400	2.2E-2	3.3E-6	2.2E-8	2.0E-5	2.0E-2	8.9E-4
3500	2.2E-2	3.2E-6	2.1E-8	2.0E-5	2.0E-2	8.8E-4
3600	2.1E-2	3.1E-6	2.1E-8	2.0E-5	1.9E-2	8.7E-4
3650	2.1E-2	3.1E-6	2.0E-8	2.0E-5	1.9E-2	8.6E-4
4000	2.0E-2	2.8E-6	1.8E-8	2.0E-5	1.8E-2	8.1E-4
5000	1.8E-2	2.1E-6	1.4E-8	1.9E-5	1.6E-2	7.0E-4
6000	1.6E-2	1.6E-6	1.1E-8	1.9E-5	1.4E-2	6.1E-4
7000	1.4E-2	1.3E-6	8.6E-9	1.8E-5	1.3E-2	5.3E-4
8000	1.3E-2	1.1E-6	7.2E-9	1.8E-5	1.2E-2	4.6E-4
9000	1.2E-2	9.3E-7	6.2E-9	1.8E-5	1.1E-2	4.1E-4
10000	1.1E-2	8.1E-7	5.4E-9	1.7E-5	1.0E-2	3.6E-4
11000	1.1E-2	7.3E-7	4.8E-9	1.7E-5	9.4E-3	3.2E-4
12000	9.8E-3	6.5E-7	4.3E-9	1.7E-5	8.8E-3	2.9E-4
13000	9.2E-3	5.9E-7	3.9E-9	1.6E-5	8.2E-3	2.6E-4
14000	8.6E-3	5.4E-7	3.6E-9	1.6E-5	7.7E-3	2.4E-4
15000	8.1E-3	5.0E-7	3.3E-9	1.6E-5	7.2E-3	2.2E-4
16000	7.7E-3	4.6E-7	3.0E-9	1.5E-5	6.7E-3	2.0E-4
17000	7.2E-3	4.2E-7	2.8E-9	1.5E-5	6.3E-3	1.9E-4
18000	6.8E-3	3.9E-7	2.6E-9	1.5E-5	5.9E-3	1.8E-4
18250	6.7E-3	3.8E-7	2.6E-9	1.5E-5	5.9E-3	1.8E-4
