Radionuclide	H-3
Route of Intake	Ingestion
Material	 Biogenic forms, fA=0.99
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*
74	1.9E-1	1.8E-3	1.4E-4	3.7E-3
75	1.8E-1	1.8E-3	1.3E-4	3.7E-3
76	1.8E-1	1.8E-3	1.3E-4	3.6E-3
77	1.8E-1	1.7E-3	1.3E-4	3.5E-3
78	1.7E-1	1.7E-3	1.3E-4	3.5E-3
79	1.7E-1	1.7E-3	1.2E-4	3.4E-3
80	1.7E-1	1.6E-3	1.2E-4	3.4E-3
81	1.7E-1	1.6E-3	1.2E-4	3.3E-3
82	1.6E-1	1.6E-3	1.2E-4	3.2E-3
83	1.6E-1	1.5E-3	1.1E-4	3.2E-3
84	1.6E-1	1.5E-3	1.1E-4	3.1E-3
85	1.5E-1	1.5E-3	1.1E-4	3.1E-3
86	1.5E-1	1.5E-3	1.1E-4	3.0E-3
87	1.5E-1	1.4E-3	1.1E-4	3.0E-3
88	1.5E-1	1.4E-3	1.0E-4	2.9E-3
89	1.4E-1	1.4E-3	1.0E-4	2.9E-3
90	1.4E-1	1.4E-3	1.0E-4	2.8E-3
91	1.4E-1	1.3E-3	9.9E-5	2.8E-3
92	1.4E-1	1.3E-3	9.7E-5	2.7E-3
93	1.3E-1	1.3E-3	9.6E-5	2.7E-3
94	1.3E-1	1.3E-3	9.4E-5	2.6E-3
95	1.3E-1	1.2E-3	9.2E-5	2.6E-3
96	1.3E-1	1.2E-3	9.1E-5	2.5E-3
97	1.3E-1	1.2E-3	8.9E-5	2.5E-3
98	1.2E-1	1.2E-3	8.7E-5	2.5E-3
99	1.2E-1	1.2E-3	8.6E-5	2.4E-3
100	1.2E-1	1.1E-3	8.4E-5	2.4E-3
110	1.0E-1	9.5E-4	7.1E-5	2.0E-3
120	8.4E-2	7.9E-4	5.9E-5	1.7E-3
130	7.1E-2	6.7E-4	5.0E-5	1.4E-3
140	6.0E-2	5.6E-4	4.2E-5	1.2E-3
150	5.0E-2	4.7E-4	3.5E-5	1.0E-3
160	4.2E-2	4.0E-4	3.0E-5	8.5E-4
170	3.6E-2	3.3E-4	2.5E-5	7.1E-4
180	3.0E-2	2.8E-4	2.1E-5	6.0E-4
190	2.6E-2	2.4E-4	1.8E-5	5.1E-4
200	2.2E-2	2.0E-4	1.5E-5	4.3E-4
210	1.8E-2	1.7E-4	1.2E-5	3.6E-4
220	1.5E-2	1.4E-4	1.0E-5	3.1E-4
230	1.3E-2	1.2E-4	8.8E-6	2.6E-4
240	1.1E-2	1.0E-4	7.4E-6	2.2E-4
250	9.5E-3	8.4E-5	6.3E-6	1.9E-4
260	8.0E-3	7.1E-5	5.3E-6	1.6E-4
270	6.9E-3	6.0E-5	4.4E-6	1.4E-4
280	5.9E-3	5.0E-5	3.7E-6	1.2E-4
290	5.0E-3	4.2E-5	3.2E-6	9.9E-5
300	4.3E-3	3.6E-5	2.7E-6	8.5E-5
310	3.7E-3	3.0E-5	2.2E-6	7.3E-5
320	3.2E-3	2.5E-5	1.9E-6	6.3E-5
330	2.8E-3	2.1E-5	1.6E-6	5.4E-5
340	2.4E-3	1.8E-5	1.4E-6	4.7E-5
350	2.1E-3	1.5E-5	1.1E-6	4.1E-5
360	1.9E-3	1.3E-5	9.7E-7	3.6E-5
365	1.7E-3	1.2E-5	8.9E-7	3.4E-5
370	1.6E-3	1.1E-5	8.2E-7	3.2E-5
380	1.5E-3	9.3E-6	7.0E-7	2.8E-5
390	1.3E-3	7.9E-6	5.9E-7	2.5E-5
400	1.2E-3	6.7E-6	5.0E-7	2.2E-5
410	1.0E-3	5.7E-6	4.3E-7	2.0E-5
420	9.5E-4	4.9E-6	3.6E-7	1.8E-5
430	8.7E-4	4.2E-6	3.1E-7	1.6E-5
440	8.0E-4	3.6E-6	2.7E-7	1.5E-5
450	7.3E-4	3.1E-6	2.3E-7	1.4E-5
460	6.8E-4	2.7E-6	2.0E-7	1.3E-5
470	6.4E-4	2.3E-6	1.7E-7	1.2E-5
480	6.0E-4	2.0E-6	1.5E-7	1.1E-5
490	5.6E-4	1.8E-6	1.3E-7	1.0E-5
500	5.3E-4	1.5E-6	1.1E-7	9.7E-6
510	5.0E-4	1.4E-6	1.0E-7	9.2E-6
520	4.8E-4	1.2E-6	8.8E-8	8.8E-6
530	4.6E-4	1.1E-6	7.9E-8	8.4E-6
540	4.4E-4	9.5E-7	7.0E-8	8.0E-6
550	4.2E-4	8.5E-7	6.3E-8	7.7E-6
560	4.1E-4	7.7E-7	5.7E-8	7.4E-6
570	3.9E-4	7.0E-7	5.2E-8	7.1E-6
580	3.8E-4	6.4E-7	4.7E-8	6.9E-6
590	3.7E-4	5.9E-7	4.4E-8	6.7E-6
600	3.6E-4	5.5E-7	4.0E-8	6.5E-6
610	3.5E-4	5.1E-7	3.7E-8	6.3E-6
620	3.4E-4	4.8E-7	3.5E-8	6.1E-6
630	3.3E-4	4.5E-7	3.3E-8	5.9E-6
640	3.2E-4	4.2E-7	3.1E-8	5.8E-6
650	3.1E-4	4.0E-7	2.9E-8	5.6E-6
660	3.1E-4	3.8E-7	2.8E-8	5.5E-6
670	3.0E-4	3.6E-7	2.7E-8	5.4E-6
680	2.9E-4	3.5E-7	2.5E-8	5.2E-6
690	2.9E-4	3.3E-7	2.4E-8	5.1E-6
700	2.8E-4	3.2E-7	2.4E-8	5.0E-6
710	2.7E-4	3.1E-7	2.3E-8	4.9E-6
720	2.7E-4	3.0E-7	2.2E-8	4.8E-6
730	2.6E-4	2.9E-7	2.1E-8	4.7E-6
740	2.6E-4	2.8E-7	2.1E-8	4.6E-6
750	2.5E-4	2.7E-7	2.0E-8	4.5E-6
760	2.4E-4	2.7E-7	1.9E-8	4.4E-6
770	2.4E-4	2.6E-7	1.9E-8	4.3E-6
780	2.3E-4	2.5E-7	1.8E-8	4.2E-6
790	2.3E-4	2.5E-7	1.8E-8	4.1E-6
800	2.2E-4	2.4E-7	1.8E-8	4.0E-6
810	2.2E-4	2.3E-7	1.7E-8	3.9E-6
820	2.2E-4	2.3E-7	1.7E-8	3.9E-6
830	2.1E-4	2.2E-7	1.6E-8	3.8E-6
840	2.1E-4	2.2E-7	1.6E-8	3.7E-6
850	2.0E-4	2.1E-7	1.6E-8	3.6E-6
860	2.0E-4	2.1E-7	1.5E-8	3.6E-6
870	1.9E-4	2.0E-7	1.5E-8	3.5E-6
880	1.9E-4	2.0E-7	1.5E-8	3.4E-6
890	1.9E-4	2.0E-7	1.4E-8	3.3E-6
900	1.8E-4	1.9E-7	1.4E-8	3.3E-6
910	1.8E-4	1.9E-7	1.4E-8	3.2E-6
920	1.8E-4	1.8E-7	1.3E-8	3.1E-6
930	1.7E-4	1.8E-7	1.3E-8	3.1E-6
940	1.7E-4	1.8E-7	1.3E-8	3.0E-6
950	1.6E-4	1.7E-7	1.3E-8	3.0E-6
960	1.6E-4	1.7E-7	1.2E-8	2.9E-6
970	1.6E-4	1.7E-7	1.2E-8	2.8E-6
980	1.5E-4	1.6E-7	1.2E-8	2.8E-6
990	1.5E-4	1.6E-7	1.2E-8	2.7E-6
1000	1.5E-4	1.6E-7	1.1E-8	2.7E-6
1010	1.5E-4	1.5E-7	1.1E-8	2.6E-6
1020	1.4E-4	1.5E-7	1.1E-8	2.6E-6
1030	1.4E-4	1.5E-7	1.1E-8	2.5E-6
1040	1.4E-4	1.4E-7	1.0E-8	2.5E-6
1050	1.3E-4	1.4E-7	1.0E-8	2.4E-6
1060	1.3E-4	1.4E-7	1.0E-8	2.4E-6
1070	1.3E-4	1.3E-7	9.8E-9	2.3E-6
1080	1.3E-4	1.3E-7	9.6E-9	2.3E-6
1090	1.2E-4	1.3E-7	9.4E-9	2.2E-6
1095	1.2E-4	1.3E-7	9.3E-9	2.2E-6
1100	1.2E-4	1.3E-7	9.2E-9	2.2E-6
1200	9.9E-5	1.0E-7	7.5E-9	1.8E-6
1300	8.0E-5	8.4E-8	6.1E-9	1.4E-6
1400	6.5E-5	6.8E-8	5.0E-9	1.2E-6
1500	5.3E-5	5.6E-8	4.1E-9	9.5E-7
1600	4.3E-5	4.5E-8	3.3E-9	7.8E-7
1700	3.5E-5	3.7E-8	2.7E-9	6.3E-7
1800	2.9E-5	3.0E-8	2.2E-9	5.2E-7
1900	2.3E-5	2.4E-8	1.8E-9	4.2E-7
2000	1.9E-5	2.0E-8	1.5E-9	3.4E-7
2100	1.6E-5	1.6E-8	1.2E-9	2.8E-7
2200	1.3E-5	1.3E-8	9.6E-10	2.3E-7
2300	1.0E-5	1.1E-8	7.9E-10	1.8E-7
2400	8.4E-6	8.8E-9	6.4E-10	1.5E-7
2500	6.8E-6	7.1E-9	5.2E-10	1.2E-7
2600	5.6E-6	5.8E-9	4.2E-10	1.0E-7
2700	4.5E-6	4.7E-9	3.5E-10	8.1E-8
2800	3.7E-6	3.9E-9	2.8E-10	6.6E-8
2900	3.0E-6	3.1E-9	2.3E-10	5.4E-8
3000	2.5E-6	2.6E-9	1.9E-10	4.4E-8
3100	2.0E-6	2.1E-9	1.5E-10	3.6E-8
3200	1.6E-6	1.7E-9	1.2E-10	2.9E-8
3300	1.3E-6	1.4E-9	1.0E-10	2.4E-8
3400	1.1E-6	1.1E-9	-	1.9E-8
3500	8.8E-7	9.2E-10	-	1.6E-8
3600	7.2E-7	7.5E-10	-	1.3E-8
3650	6.5E-7	6.7E-10	-	1.1E-8
4000	3.2E-7	3.3E-10	-	5.6E-9
5000	4.0E-8	-	-	7.2E-10
6000	5.2E-9	-	-	-
7000	6.7E-10	-	-	-
