Radionuclide	Mo-99
Route of Intake	Injection
Material	Injection, fA=0.9
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Liver*
50	1.1E-6	1.2E-8	3.0E-9	1.4E-8	6.1E-7
51	8.6E-7	8.9E-9	2.3E-9	1.0E-8	4.7E-7
52	6.6E-7	6.8E-9	1.8E-9	8.0E-9	3.6E-7
53	5.1E-7	5.2E-9	1.3E-9	6.1E-9	2.7E-7
54	3.9E-7	4.0E-9	1.0E-9	4.7E-9	2.1E-7
55	3.0E-7	3.1E-9	7.9E-10	3.6E-9	1.6E-7
56	2.3E-7	2.4E-9	6.0E-10	2.8E-9	1.2E-7
57	1.8E-7	1.8E-9	4.6E-10	2.1E-9	9.2E-8
58	1.3E-7	1.4E-9	3.5E-10	1.6E-9	7.1E-8
59	1.0E-7	1.1E-9	2.7E-10	1.3E-9	5.4E-8
60	7.9E-8	8.3E-10	2.0E-10	8.7E-10	4.1E-8
61	6.1E-8	6.4E-10	1.6E-10	5.2E-10	3.1E-8
62	4.7E-8	4.9E-10	1.2E-10	4.0E-10	2.4E-8
63	3.6E-8	3.8E-10	-	3.1E-10	1.8E-8
64	2.7E-8	2.9E-10	-	2.4E-10	1.4E-8
65	2.1E-8	2.2E-10	-	1.8E-10	1.1E-8
66	1.6E-8	1.7E-10	-	1.4E-10	8.2E-9
67	1.2E-8	1.3E-10	-	1.1E-10	6.3E-9
68	9.5E-9	1.0E-10	-	-	4.8E-9
69	7.3E-9	-	-	-	3.7E-9
70	5.6E-9	-	-	-	2.8E-9
71	4.3E-9	-	-	-	2.1E-9
72	3.3E-9	-	-	-	1.6E-9
73	2.5E-9	-	-	-	1.2E-9
74	1.9E-9	-	-	-	9.5E-10
75	1.5E-9	-	-	-	7.3E-10
76	1.1E-9	-	-	-	5.5E-10
77	8.7E-10	-	-	-	4.2E-10
78	6.7E-10	-	-	-	3.2E-10
79	5.1E-10	-	-	-	2.5E-10
80	3.9E-10	-	-	-	1.9E-10
81	3.0E-10	-	-	-	1.4E-10
82	2.3E-10	-	-	-	1.1E-10
83	1.8E-10	-	-	-	-
84	1.4E-10	-	-	-	-
85	1.0E-10	-	-	-	-
