Radionuclide	Ra-228
Route of Intake	Injection
Material	Injection, fA=0.2
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Ac-228)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Ac-228)	Skeleton* (Ac-228)	Liver* (Ac-228)
90	5.0E-2	9.2E-6	3.4E-4	4.5E-4	4.6E-2	9.0E-4
91	5.0E-2	9.1E-6	3.3E-4	4.4E-4	4.6E-2	9.0E-4
92	4.9E-2	8.9E-6	3.3E-4	4.3E-4	4.6E-2	9.0E-4
93	4.9E-2	8.8E-6	3.2E-4	4.3E-4	4.5E-2	8.9E-4
94	4.9E-2	8.6E-6	3.2E-4	4.2E-4	4.5E-2	8.9E-4
95	4.8E-2	8.5E-6	3.1E-4	4.1E-4	4.5E-2	8.9E-4
96	4.8E-2	8.3E-6	3.1E-4	4.1E-4	4.4E-2	8.9E-4
97	4.8E-2	8.2E-6	3.0E-4	4.0E-4	4.4E-2	8.8E-4
98	4.7E-2	8.0E-6	3.0E-4	4.0E-4	4.4E-2	8.8E-4
99	4.7E-2	7.9E-6	2.9E-4	3.9E-4	4.4E-2	8.8E-4
100	4.7E-2	7.7E-6	2.9E-4	3.8E-4	4.3E-2	8.7E-4
110	4.4E-2	6.5E-6	2.4E-4	3.3E-4	4.1E-2	8.5E-4
120	4.2E-2	5.4E-6	2.0E-4	2.9E-4	3.8E-2	8.3E-4
130	4.0E-2	4.6E-6	1.7E-4	2.5E-4	3.6E-2	8.1E-4
140	3.8E-2	3.9E-6	1.4E-4	2.2E-4	3.5E-2	7.9E-4
150	3.6E-2	3.2E-6	1.2E-4	1.9E-4	3.3E-2	7.7E-4
160	3.5E-2	2.7E-6	1.0E-4	1.7E-4	3.2E-2	7.5E-4
170	3.4E-2	2.3E-6	8.6E-5	1.5E-4	3.1E-2	7.4E-4
180	3.3E-2	2.0E-6	7.3E-5	1.4E-4	3.0E-2	7.2E-4
190	3.2E-2	1.7E-6	6.2E-5	1.2E-4	3.0E-2	7.1E-4
200	3.2E-2	1.4E-6	5.3E-5	1.1E-4	2.9E-2	7.0E-4
210	3.1E-2	1.2E-6	4.6E-5	1.1E-4	2.8E-2	6.9E-4
220	3.1E-2	1.1E-6	4.0E-5	9.8E-5	2.8E-2	6.7E-4
230	3.0E-2	9.4E-7	3.4E-5	9.2E-5	2.7E-2	6.6E-4
240	3.0E-2	8.2E-7	3.0E-5	8.6E-5	2.7E-2	6.5E-4
250	2.9E-2	7.2E-7	2.6E-5	8.2E-5	2.7E-2	6.4E-4
260	2.9E-2	6.4E-7	2.3E-5	7.8E-5	2.6E-2	6.3E-4
270	2.9E-2	5.7E-7	2.1E-5	7.5E-5	2.6E-2	6.2E-4
280	2.8E-2	5.2E-7	1.9E-5	7.2E-5	2.6E-2	6.1E-4
290	2.8E-2	4.7E-7	1.7E-5	7.0E-5	2.5E-2	6.0E-4
300	2.8E-2	4.3E-7	1.6E-5	6.7E-5	2.5E-2	5.9E-4
310	2.8E-2	3.9E-7	1.4E-5	6.6E-5	2.5E-2	5.9E-4
320	2.7E-2	3.6E-7	1.3E-5	6.4E-5	2.5E-2	5.8E-4
330	2.7E-2	3.4E-7	1.2E-5	6.3E-5	2.5E-2	5.7E-4
340	2.7E-2	3.2E-7	1.2E-5	6.2E-5	2.4E-2	5.6E-4
350	2.7E-2	3.0E-7	1.1E-5	6.1E-5	2.4E-2	5.5E-4
360	2.6E-2	2.9E-7	1.0E-5	6.0E-5	2.4E-2	5.4E-4
365	2.6E-2	2.8E-7	1.0E-5	5.9E-5	2.4E-2	5.4E-4
370	2.6E-2	2.8E-7	1.0E-5	5.9E-5	2.4E-2	5.4E-4
380	2.6E-2	2.6E-7	9.6E-6	5.8E-5	2.4E-2	5.3E-4
390	2.6E-2	2.6E-7	9.2E-6	5.7E-5	2.4E-2	5.2E-4
400	2.6E-2	2.5E-7	8.9E-6	5.7E-5	2.3E-2	5.2E-4
410	2.6E-2	2.4E-7	8.7E-6	5.6E-5	2.3E-2	5.1E-4
420	2.5E-2	2.3E-7	8.5E-6	5.5E-5	2.3E-2	5.0E-4
430	2.5E-2	2.3E-7	8.3E-6	5.5E-5	2.3E-2	4.9E-4
440	2.5E-2	2.2E-7	8.1E-6	5.4E-5	2.3E-2	4.9E-4
450	2.5E-2	2.2E-7	7.9E-6	5.4E-5	2.3E-2	4.8E-4
460	2.5E-2	2.2E-7	7.8E-6	5.3E-5	2.3E-2	4.7E-4
470	2.5E-2	2.1E-7	7.7E-6	5.3E-5	2.2E-2	4.7E-4
480	2.4E-2	2.1E-7	7.6E-6	5.2E-5	2.2E-2	4.6E-4
490	2.4E-2	2.1E-7	7.5E-6	5.2E-5	2.2E-2	4.6E-4
500	2.4E-2	2.0E-7	7.4E-6	5.2E-5	2.2E-2	4.5E-4
510	2.4E-2	2.0E-7	7.3E-6	5.1E-5	2.2E-2	4.4E-4
520	2.4E-2	2.0E-7	7.2E-6	5.1E-5	2.2E-2	4.4E-4
530	2.4E-2	2.0E-7	7.1E-6	5.0E-5	2.2E-2	4.3E-4
540	2.3E-2	2.0E-7	7.0E-6	5.0E-5	2.1E-2	4.3E-4
550	2.3E-2	1.9E-7	7.0E-6	5.0E-5	2.1E-2	4.2E-4
560	2.3E-2	1.9E-7	6.9E-6	4.9E-5	2.1E-2	4.2E-4
570	2.3E-2	1.9E-7	6.8E-6	4.9E-5	2.1E-2	4.1E-4
580	2.3E-2	1.9E-7	6.8E-6	4.9E-5	2.1E-2	4.1E-4
590	2.3E-2	1.9E-7	6.7E-6	4.8E-5	2.1E-2	4.0E-4
600	2.3E-2	1.8E-7	6.6E-6	4.8E-5	2.1E-2	4.0E-4
610	2.2E-2	1.8E-7	6.6E-6	4.8E-5	2.1E-2	3.9E-4
620	2.2E-2	1.8E-7	6.5E-6	4.7E-5	2.0E-2	3.9E-4
630	2.2E-2	1.8E-7	6.5E-6	4.7E-5	2.0E-2	3.8E-4
640	2.2E-2	1.8E-7	6.4E-6	4.6E-5	2.0E-2	3.8E-4
650	2.2E-2	1.8E-7	6.4E-6	4.6E-5	2.0E-2	3.7E-4
660	2.2E-2	1.8E-7	6.3E-6	4.6E-5	2.0E-2	3.7E-4
670	2.2E-2	1.7E-7	6.2E-6	4.5E-5	2.0E-2	3.6E-4
680	2.1E-2	1.7E-7	6.2E-6	4.5E-5	2.0E-2	3.6E-4
690	2.1E-2	1.7E-7	6.1E-6	4.5E-5	2.0E-2	3.5E-4
700	2.1E-2	1.7E-7	6.1E-6	4.5E-5	1.9E-2	3.5E-4
710	2.1E-2	1.7E-7	6.0E-6	4.4E-5	1.9E-2	3.5E-4
720	2.1E-2	1.7E-7	6.0E-6	4.4E-5	1.9E-2	3.4E-4
730	2.1E-2	1.7E-7	5.9E-6	4.4E-5	1.9E-2	3.4E-4
740	2.1E-2	1.6E-7	5.9E-6	4.3E-5	1.9E-2	3.3E-4
750	2.1E-2	1.6E-7	5.8E-6	4.3E-5	1.9E-2	3.3E-4
760	2.0E-2	1.6E-7	5.8E-6	4.3E-5	1.9E-2	3.3E-4
770	2.0E-2	1.6E-7	5.8E-6	4.2E-5	1.9E-2	3.2E-4
780	2.0E-2	1.6E-7	5.7E-6	4.2E-5	1.9E-2	3.2E-4
790	2.0E-2	1.6E-7	5.7E-6	4.2E-5	1.8E-2	3.1E-4
800	2.0E-2	1.6E-7	5.6E-6	4.1E-5	1.8E-2	3.1E-4
810	2.0E-2	1.5E-7	5.6E-6	4.1E-5	1.8E-2	3.1E-4
820	2.0E-2	1.5E-7	5.5E-6	4.1E-5	1.8E-2	3.0E-4
830	2.0E-2	1.5E-7	5.5E-6	4.1E-5	1.8E-2	3.0E-4
840	1.9E-2	1.5E-7	5.4E-6	4.0E-5	1.8E-2	3.0E-4
850	1.9E-2	1.5E-7	5.4E-6	4.0E-5	1.8E-2	2.9E-4
860	1.9E-2	1.5E-7	5.4E-6	4.0E-5	1.8E-2	2.9E-4
870	1.9E-2	1.5E-7	5.3E-6	3.9E-5	1.8E-2	2.9E-4
880	1.9E-2	1.5E-7	5.3E-6	3.9E-5	1.7E-2	2.8E-4
890	1.9E-2	1.5E-7	5.2E-6	3.9E-5	1.7E-2	2.8E-4
900	1.9E-2	1.4E-7	5.2E-6	3.9E-5	1.7E-2	2.8E-4
910	1.9E-2	1.4E-7	5.1E-6	3.8E-5	1.7E-2	2.7E-4
920	1.9E-2	1.4E-7	5.1E-6	3.8E-5	1.7E-2	2.7E-4
930	1.8E-2	1.4E-7	5.1E-6	3.8E-5	1.7E-2	2.7E-4
940	1.8E-2	1.4E-7	5.0E-6	3.7E-5	1.7E-2	2.7E-4
950	1.8E-2	1.4E-7	5.0E-6	3.7E-5	1.7E-2	2.6E-4
960	1.8E-2	1.4E-7	4.9E-6	3.7E-5	1.7E-2	2.6E-4
970	1.8E-2	1.4E-7	4.9E-6	3.7E-5	1.7E-2	2.6E-4
980	1.8E-2	1.4E-7	4.9E-6	3.6E-5	1.6E-2	2.5E-4
990	1.8E-2	1.3E-7	4.8E-6	3.6E-5	1.6E-2	2.5E-4
1000	1.8E-2	1.3E-7	4.8E-6	3.6E-5	1.6E-2	2.5E-4
1010	1.8E-2	1.3E-7	4.8E-6	3.6E-5	1.6E-2	2.5E-4
1020	1.7E-2	1.3E-7	4.7E-6	3.5E-5	1.6E-2	2.4E-4
1030	1.7E-2	1.3E-7	4.7E-6	3.5E-5	1.6E-2	2.4E-4
1040	1.7E-2	1.3E-7	4.6E-6	3.5E-5	1.6E-2	2.4E-4
1050	1.7E-2	1.3E-7	4.6E-6	3.5E-5	1.6E-2	2.4E-4
1060	1.7E-2	1.3E-7	4.6E-6	3.4E-5	1.6E-2	2.3E-4
1070	1.7E-2	1.3E-7	4.5E-6	3.4E-5	1.6E-2	2.3E-4
1080	1.7E-2	1.3E-7	4.5E-6	3.4E-5	1.5E-2	2.3E-4
1090	1.7E-2	1.2E-7	4.5E-6	3.4E-5	1.5E-2	2.3E-4
1095	1.7E-2	1.2E-7	4.4E-6	3.4E-5	1.5E-2	2.3E-4
1100	1.7E-2	1.2E-7	4.4E-6	3.3E-5	1.5E-2	2.2E-4
1200	1.6E-2	1.1E-7	4.1E-6	3.1E-5	1.4E-2	2.0E-4
1300	1.5E-2	1.1E-7	3.8E-6	2.9E-5	1.4E-2	1.8E-4
1400	1.4E-2	9.8E-8	3.5E-6	2.7E-5	1.3E-2	1.7E-4
1500	1.3E-2	9.1E-8	3.3E-6	2.5E-5	1.2E-2	1.5E-4
1600	1.2E-2	8.4E-8	3.0E-6	2.3E-5	1.1E-2	1.4E-4
1700	1.2E-2	7.8E-8	2.8E-6	2.2E-5	1.1E-2	1.3E-4
1800	1.1E-2	7.3E-8	2.6E-6	2.0E-5	1.0E-2	1.2E-4
1900	1.0E-2	6.7E-8	2.4E-6	1.9E-5	9.7E-3	1.1E-4
2000	9.8E-3	6.3E-8	2.3E-6	1.8E-5	9.2E-3	1.0E-4
2100	9.3E-3	5.8E-8	2.1E-6	1.6E-5	8.7E-3	9.3E-5
2200	8.8E-3	5.4E-8	2.0E-6	1.5E-5	8.2E-3	8.6E-5
2300	8.3E-3	5.1E-8	1.8E-6	1.4E-5	7.8E-3	8.0E-5
2400	7.8E-3	4.7E-8	1.7E-6	1.3E-5	7.4E-3	7.4E-5
2500	7.4E-3	4.4E-8	1.6E-6	1.2E-5	7.0E-3	6.8E-5
2600	7.0E-3	4.1E-8	1.5E-6	1.2E-5	6.6E-3	6.4E-5
2700	6.7E-3	3.8E-8	1.4E-6	1.1E-5	6.3E-3	5.9E-5
2800	6.3E-3	3.5E-8	1.3E-6	1.0E-5	5.9E-3	5.5E-5
2900	6.0E-3	3.3E-8	1.2E-6	9.4E-6	5.6E-3	5.1E-5
3000	5.7E-3	3.1E-8	1.1E-6	8.8E-6	5.3E-3	4.7E-5
3100	5.4E-3	2.9E-8	1.0E-6	8.2E-6	5.1E-3	4.4E-5
3200	5.1E-3	2.7E-8	9.7E-7	7.6E-6	4.8E-3	4.1E-5
3300	4.8E-3	2.5E-8	9.0E-7	7.1E-6	4.6E-3	3.8E-5
3400	4.6E-3	2.3E-8	8.4E-7	6.6E-6	4.4E-3	3.6E-5
3500	4.4E-3	2.2E-8	7.9E-7	6.2E-6	4.1E-3	3.3E-5
3600	4.1E-3	2.1E-8	7.4E-7	5.8E-6	3.9E-3	3.1E-5
3650	4.0E-3	2.0E-8	7.1E-7	5.6E-6	3.8E-3	3.0E-5
4000	3.4E-3	1.6E-8	5.7E-7	4.4E-6	3.2E-3	2.3E-5
5000	2.1E-3	8.3E-9	3.0E-7	2.2E-6	2.0E-3	1.2E-5
6000	1.3E-3	4.5E-9	1.6E-7	1.1E-6	1.3E-3	5.7E-6
7000	8.3E-4	2.6E-9	9.3E-8	5.6E-7	8.1E-4	2.9E-6
8000	5.3E-4	1.5E-9	5.5E-8	2.9E-7	5.2E-4	1.4E-6
9000	3.5E-4	9.2E-10	3.3E-8	1.5E-7	3.4E-4	7.2E-7
10000	2.3E-4	5.7E-10	2.0E-8	8.1E-8	2.2E-4	3.7E-7
11000	1.5E-4	3.6E-10	1.3E-8	4.4E-8	1.5E-4	1.9E-7
12000	9.8E-5	2.3E-10	8.2E-9	2.4E-8	9.7E-5	9.6E-8
13000	6.4E-5	1.5E-10	5.3E-9	1.4E-8	6.4E-5	5.0E-8
14000	4.3E-5	-	3.5E-9	7.9E-9	4.2E-5	2.7E-8
15000	2.8E-5	-	2.3E-9	4.7E-9	2.8E-5	1.4E-8
16000	1.9E-5	-	1.5E-9	2.8E-9	1.9E-5	7.8E-9
17000	1.2E-5	-	9.8E-10	1.7E-9	1.2E-5	4.4E-9
18000	8.2E-6	-	6.5E-10	1.1E-9	8.1E-6	2.5E-9
18250	7.4E-6	-	5.8E-10	9.7E-10	7.3E-6	2.2E-9
