Radionuclide	Th-228
Route of Intake	Injection
Material	Injection, fA=5E-4
AMTD/AMAD, µm	-

Content in an Organ or Excreta Sample per Intake (Reference Bioassay Functions m(t)), Bq per Bq
Time, days	Whole Body (Pb-212)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Pb-212)	Skeleton* (Pb-212)	Liver* (Pb-212)
49	4.8E-1	1.9E-4	2.2E-5	6.5E-2	3.1E-1	3.7E-2
50	4.8E-1	1.8E-4	2.2E-5	6.5E-2	3.1E-1	3.7E-2
51	4.8E-1	1.8E-4	2.2E-5	6.5E-2	3.1E-1	3.7E-2
52	4.8E-1	1.7E-4	2.2E-5	6.5E-2	3.1E-1	3.7E-2
53	4.7E-1	1.6E-4	2.2E-5	6.5E-2	3.1E-1	3.7E-2
54	4.7E-1	1.6E-4	2.2E-5	6.5E-2	3.1E-1	3.7E-2
55	4.7E-1	1.5E-4	2.2E-5	6.5E-2	3.1E-1	3.7E-2
56	4.7E-1	1.4E-4	2.1E-5	6.4E-2	3.1E-1	3.7E-2
57	4.7E-1	1.4E-4	2.1E-5	6.4E-2	3.1E-1	3.7E-2
58	4.7E-1	1.3E-4	2.1E-5	6.4E-2	3.1E-1	3.7E-2
59	4.7E-1	1.3E-4	2.1E-5	6.4E-2	3.1E-1	3.7E-2
60	4.7E-1	1.2E-4	2.1E-5	6.4E-2	3.1E-1	3.7E-2
61	4.7E-1	1.2E-4	2.1E-5	6.4E-2	3.1E-1	3.7E-2
62	4.7E-1	1.1E-4	2.1E-5	6.4E-2	3.0E-1	3.7E-2
63	4.7E-1	1.1E-4	2.1E-5	6.4E-2	3.0E-1	3.6E-2
64	4.7E-1	1.0E-4	2.1E-5	6.4E-2	3.0E-1	3.6E-2
65	4.7E-1	1.0E-4	2.1E-5	6.4E-2	3.0E-1	3.6E-2
66	4.7E-1	9.7E-5	2.1E-5	6.3E-2	3.0E-1	3.6E-2
67	4.7E-1	9.3E-5	2.1E-5	6.3E-2	3.0E-1	3.6E-2
68	4.7E-1	8.9E-5	2.1E-5	6.3E-2	3.0E-1	3.6E-2
69	4.7E-1	8.6E-5	2.1E-5	6.3E-2	3.0E-1	3.6E-2
70	4.7E-1	8.3E-5	2.1E-5	6.3E-2	3.0E-1	3.6E-2
71	4.7E-1	8.0E-5	2.1E-5	6.3E-2	3.0E-1	3.6E-2
72	4.7E-1	7.7E-5	2.1E-5	6.3E-2	3.0E-1	3.6E-2
73	4.7E-1	7.5E-5	2.1E-5	6.3E-2	3.0E-1	3.6E-2
74	4.7E-1	7.2E-5	2.1E-5	6.3E-2	3.0E-1	3.6E-2
75	4.7E-1	7.0E-5	2.1E-5	6.3E-2	3.0E-1	3.6E-2
76	4.7E-1	6.7E-5	2.0E-5	6.3E-2	3.0E-1	3.6E-2
77	4.7E-1	6.5E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
78	4.6E-1	6.3E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
79	4.6E-1	6.1E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
80	4.6E-1	5.9E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
81	4.6E-1	5.7E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
82	4.6E-1	5.5E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
83	4.6E-1	5.4E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
84	4.6E-1	5.2E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
85	4.6E-1	5.1E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
86	4.6E-1	4.9E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
87	4.6E-1	4.8E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
88	4.6E-1	4.6E-5	2.0E-5	6.2E-2	3.0E-1	3.6E-2
89	4.6E-1	4.5E-5	2.0E-5	6.1E-2	3.0E-1	3.6E-2
90	4.6E-1	4.4E-5	2.0E-5	6.1E-2	3.0E-1	3.6E-2
91	4.6E-1	4.3E-5	2.0E-5	6.1E-2	3.0E-1	3.6E-2
92	4.6E-1	4.2E-5	2.0E-5	6.1E-2	3.0E-1	3.6E-2
93	4.6E-1	4.1E-5	2.0E-5	6.1E-2	3.0E-1	3.6E-2
94	4.6E-1	4.0E-5	2.0E-5	6.1E-2	3.0E-1	3.6E-2
95	4.6E-1	3.9E-5	2.0E-5	6.1E-2	3.0E-1	3.6E-2
96	4.6E-1	3.8E-5	2.0E-5	6.1E-2	3.0E-1	3.6E-2
97	4.6E-1	3.7E-5	1.9E-5	6.1E-2	3.0E-1	3.6E-2
98	4.6E-1	3.6E-5	1.9E-5	6.1E-2	3.0E-1	3.6E-2
99	4.6E-1	3.6E-5	1.9E-5	6.1E-2	3.0E-1	3.6E-2
100	4.6E-1	3.5E-5	1.9E-5	6.1E-2	3.0E-1	3.6E-2
110	4.5E-1	2.9E-5	1.9E-5	6.0E-2	3.0E-1	3.5E-2
120	4.5E-1	2.6E-5	1.8E-5	5.9E-2	2.9E-1	3.5E-2
130	4.4E-1	2.4E-5	1.8E-5	5.8E-2	2.9E-1	3.5E-2
140	4.4E-1	2.2E-5	1.8E-5	5.7E-2	2.9E-1	3.5E-2
150	4.4E-1	2.2E-5	1.7E-5	5.7E-2	2.9E-1	3.5E-2
160	4.3E-1	2.1E-5	1.7E-5	5.6E-2	2.8E-1	3.4E-2
170	4.3E-1	2.1E-5	1.6E-5	5.5E-2	2.8E-1	3.4E-2
180	4.3E-1	2.1E-5	1.6E-5	5.5E-2	2.8E-1	3.4E-2
190	4.2E-1	2.1E-5	1.6E-5	5.4E-2	2.8E-1	3.4E-2
200	4.2E-1	2.0E-5	1.5E-5	5.3E-2	2.8E-1	3.4E-2
210	4.1E-1	2.0E-5	1.5E-5	5.3E-2	2.7E-1	3.3E-2
220	4.1E-1	2.0E-5	1.5E-5	5.2E-2	2.7E-1	3.3E-2
230	4.1E-1	2.0E-5	1.4E-5	5.1E-2	2.7E-1	3.3E-2
240	4.0E-1	2.0E-5	1.4E-5	5.1E-2	2.7E-1	3.3E-2
250	4.0E-1	2.0E-5	1.4E-5	5.0E-2	2.7E-1	3.3E-2
260	4.0E-1	2.0E-5	1.3E-5	4.9E-2	2.6E-1	3.2E-2
270	3.9E-1	2.0E-5	1.3E-5	4.9E-2	2.6E-1	3.2E-2
280	3.9E-1	2.0E-5	1.3E-5	4.8E-2	2.6E-1	3.2E-2
290	3.9E-1	2.0E-5	1.2E-5	4.8E-2	2.6E-1	3.2E-2
300	3.8E-1	1.9E-5	1.2E-5	4.7E-2	2.5E-1	3.1E-2
310	3.8E-1	1.9E-5	1.2E-5	4.7E-2	2.5E-1	3.1E-2
320	3.8E-1	1.9E-5	1.2E-5	4.6E-2	2.5E-1	3.1E-2
330	3.7E-1	1.9E-5	1.1E-5	4.5E-2	2.5E-1	3.1E-2
340	3.7E-1	1.9E-5	1.1E-5	4.5E-2	2.5E-1	3.1E-2
350	3.7E-1	1.9E-5	1.1E-5	4.4E-2	2.4E-1	3.0E-2
360	3.6E-1	1.8E-5	1.1E-5	4.4E-2	2.4E-1	3.0E-2
365	3.6E-1	1.8E-5	1.0E-5	4.4E-2	2.4E-1	3.0E-2
370	3.6E-1	1.8E-5	1.0E-5	4.3E-2	2.4E-1	3.0E-2
380	3.6E-1	1.8E-5	1.0E-5	4.3E-2	2.4E-1	3.0E-2
390	3.5E-1	1.8E-5	9.9E-6	4.2E-2	2.4E-1	2.9E-2
400	3.5E-1	1.8E-5	9.7E-6	4.2E-2	2.3E-1	2.9E-2
410	3.5E-1	1.8E-5	9.5E-6	4.1E-2	2.3E-1	2.9E-2
420	3.4E-1	1.7E-5	9.3E-6	4.1E-2	2.3E-1	2.9E-2
430	3.4E-1	1.7E-5	9.1E-6	4.0E-2	2.3E-1	2.9E-2
440	3.4E-1	1.7E-5	8.9E-6	4.0E-2	2.3E-1	2.8E-2
450	3.3E-1	1.7E-5	8.7E-6	3.9E-2	2.2E-1	2.8E-2
460	3.3E-1	1.7E-5	8.5E-6	3.9E-2	2.2E-1	2.8E-2
470	3.3E-1	1.6E-5	8.3E-6	3.8E-2	2.2E-1	2.8E-2
480	3.2E-1	1.6E-5	8.1E-6	3.8E-2	2.2E-1	2.7E-2
490	3.2E-1	1.6E-5	7.9E-6	3.8E-2	2.2E-1	2.7E-2
500	3.2E-1	1.6E-5	7.8E-6	3.7E-2	2.1E-1	2.7E-2
510	3.1E-1	1.6E-5	7.6E-6	3.7E-2	2.1E-1	2.7E-2
520	3.1E-1	1.6E-5	7.4E-6	3.6E-2	2.1E-1	2.7E-2
530	3.1E-1	1.5E-5	7.3E-6	3.6E-2	2.1E-1	2.6E-2
540	3.1E-1	1.5E-5	7.1E-6	3.5E-2	2.1E-1	2.6E-2
550	3.0E-1	1.5E-5	7.0E-6	3.5E-2	2.0E-1	2.6E-2
560	3.0E-1	1.5E-5	6.8E-6	3.5E-2	2.0E-1	2.6E-2
570	3.0E-1	1.5E-5	6.7E-6	3.4E-2	2.0E-1	2.6E-2
580	2.9E-1	1.5E-5	6.6E-6	3.4E-2	2.0E-1	2.5E-2
590	2.9E-1	1.4E-5	6.4E-6	3.3E-2	2.0E-1	2.5E-2
600	2.9E-1	1.4E-5	6.3E-6	3.3E-2	2.0E-1	2.5E-2
610	2.9E-1	1.4E-5	6.2E-6	3.3E-2	1.9E-1	2.5E-2
620	2.8E-1	1.4E-5	6.0E-6	3.2E-2	1.9E-1	2.4E-2
630	2.8E-1	1.4E-5	5.9E-6	3.2E-2	1.9E-1	2.4E-2
640	2.8E-1	1.3E-5	5.8E-6	3.2E-2	1.9E-1	2.4E-2
650	2.8E-1	1.3E-5	5.7E-6	3.1E-2	1.9E-1	2.4E-2
660	2.7E-1	1.3E-5	5.6E-6	3.1E-2	1.9E-1	2.4E-2
670	2.7E-1	1.3E-5	5.4E-6	3.0E-2	1.8E-1	2.3E-2
680	2.7E-1	1.3E-5	5.3E-6	3.0E-2	1.8E-1	2.3E-2
690	2.6E-1	1.3E-5	5.2E-6	3.0E-2	1.8E-1	2.3E-2
700	2.6E-1	1.3E-5	5.1E-6	2.9E-2	1.8E-1	2.3E-2
710	2.6E-1	1.2E-5	5.0E-6	2.9E-2	1.8E-1	2.3E-2
720	2.6E-1	1.2E-5	4.9E-6	2.9E-2	1.8E-1	2.2E-2
730	2.5E-1	1.2E-5	4.8E-6	2.8E-2	1.7E-1	2.2E-2
740	2.5E-1	1.2E-5	4.7E-6	2.8E-2	1.7E-1	2.2E-2
750	2.5E-1	1.2E-5	4.6E-6	2.8E-2	1.7E-1	2.2E-2
760	2.5E-1	1.2E-5	4.5E-6	2.8E-2	1.7E-1	2.2E-2
770	2.5E-1	1.2E-5	4.5E-6	2.7E-2	1.7E-1	2.2E-2
780	2.4E-1	1.1E-5	4.4E-6	2.7E-2	1.7E-1	2.1E-2
790	2.4E-1	1.1E-5	4.3E-6	2.7E-2	1.6E-1	2.1E-2
800	2.4E-1	1.1E-5	4.2E-6	2.6E-2	1.6E-1	2.1E-2
810	2.4E-1	1.1E-5	4.1E-6	2.6E-2	1.6E-1	2.1E-2
820	2.3E-1	1.1E-5	4.0E-6	2.6E-2	1.6E-1	2.1E-2
830	2.3E-1	1.1E-5	4.0E-6	2.5E-2	1.6E-1	2.0E-2
840	2.3E-1	1.1E-5	3.9E-6	2.5E-2	1.6E-1	2.0E-2
850	2.3E-1	1.0E-5	3.8E-6	2.5E-2	1.6E-1	2.0E-2
860	2.2E-1	1.0E-5	3.7E-6	2.5E-2	1.5E-1	2.0E-2
870	2.2E-1	1.0E-5	3.7E-6	2.4E-2	1.5E-1	2.0E-2
880	2.2E-1	1.0E-5	3.6E-6	2.4E-2	1.5E-1	1.9E-2
890	2.2E-1	1.0E-5	3.5E-6	2.4E-2	1.5E-1	1.9E-2
900	2.2E-1	9.8E-6	3.5E-6	2.3E-2	1.5E-1	1.9E-2
910	2.1E-1	9.7E-6	3.4E-6	2.3E-2	1.5E-1	1.9E-2
920	2.1E-1	9.6E-6	3.3E-6	2.3E-2	1.5E-1	1.9E-2
930	2.1E-1	9.5E-6	3.3E-6	2.3E-2	1.4E-1	1.9E-2
940	2.1E-1	9.4E-6	3.2E-6	2.2E-2	1.4E-1	1.8E-2
950	2.1E-1	9.3E-6	3.2E-6	2.2E-2	1.4E-1	1.8E-2
960	2.0E-1	9.2E-6	3.1E-6	2.2E-2	1.4E-1	1.8E-2
970	2.0E-1	9.0E-6	3.0E-6	2.2E-2	1.4E-1	1.8E-2
980	2.0E-1	8.9E-6	3.0E-6	2.1E-2	1.4E-1	1.8E-2
990	2.0E-1	8.8E-6	2.9E-6	2.1E-2	1.4E-1	1.8E-2
1000	2.0E-1	8.7E-6	2.9E-6	2.1E-2	1.4E-1	1.7E-2
1010	1.9E-1	8.6E-6	2.8E-6	2.1E-2	1.3E-1	1.7E-2
1020	1.9E-1	8.5E-6	2.8E-6	2.1E-2	1.3E-1	1.7E-2
1030	1.9E-1	8.4E-6	2.7E-6	2.0E-2	1.3E-1	1.7E-2
1040	1.9E-1	8.3E-6	2.7E-6	2.0E-2	1.3E-1	1.7E-2
1050	1.9E-1	8.2E-6	2.6E-6	2.0E-2	1.3E-1	1.7E-2
1060	1.9E-1	8.1E-6	2.6E-6	2.0E-2	1.3E-1	1.6E-2
1070	1.8E-1	8.0E-6	2.5E-6	1.9E-2	1.3E-1	1.6E-2
1080	1.8E-1	7.9E-6	2.5E-6	1.9E-2	1.3E-1	1.6E-2
1090	1.8E-1	7.8E-6	2.5E-6	1.9E-2	1.2E-1	1.6E-2
1095	1.8E-1	7.8E-6	2.4E-6	1.9E-2	1.2E-1	1.6E-2
1100	1.8E-1	7.7E-6	2.4E-6	1.9E-2	1.2E-1	1.6E-2
1200	1.6E-1	6.8E-6	2.0E-6	1.7E-2	1.1E-1	1.4E-2
1300	1.5E-1	6.1E-6	1.7E-6	1.5E-2	1.0E-1	1.3E-2
1400	1.3E-1	5.4E-6	1.5E-6	1.3E-2	9.3E-2	1.2E-2
1500	1.2E-1	4.8E-6	1.3E-6	1.2E-2	8.4E-2	1.1E-2
1600	1.1E-1	4.3E-6	1.1E-6	1.1E-2	7.7E-2	9.8E-3
1700	9.9E-2	3.8E-6	9.3E-7	9.8E-3	7.0E-2	8.8E-3
1800	8.9E-2	3.4E-6	8.1E-7	8.8E-3	6.3E-2	8.0E-3
1900	8.1E-2	3.0E-6	7.1E-7	7.9E-3	5.7E-2	7.2E-3
2000	7.3E-2	2.7E-6	6.2E-7	7.1E-3	5.2E-2	6.5E-3
2100	6.6E-2	2.4E-6	5.4E-7	6.4E-3	4.7E-2	5.9E-3
2200	6.0E-2	2.1E-6	4.7E-7	5.7E-3	4.3E-2	5.3E-3
2300	5.4E-2	1.9E-6	4.2E-7	5.2E-3	3.9E-2	4.8E-3
2400	4.9E-2	1.7E-6	3.7E-7	4.6E-3	3.5E-2	4.4E-3
2500	4.4E-2	1.5E-6	3.2E-7	4.2E-3	3.2E-2	3.9E-3
2600	4.0E-2	1.3E-6	2.9E-7	3.8E-3	2.9E-2	3.6E-3
2700	3.6E-2	1.2E-6	2.5E-7	3.4E-3	2.6E-2	3.2E-3
2800	3.3E-2	1.1E-6	2.3E-7	3.1E-3	2.4E-2	2.9E-3
2900	3.0E-2	9.5E-7	2.0E-7	2.8E-3	2.1E-2	2.6E-3
3000	2.7E-2	8.5E-7	1.8E-7	2.5E-3	1.9E-2	2.4E-3
3100	2.4E-2	7.6E-7	1.6E-7	2.2E-3	1.8E-2	2.1E-3
3200	2.2E-2	6.8E-7	1.4E-7	2.0E-3	1.6E-2	1.9E-3
3300	2.0E-2	6.1E-7	1.3E-7	1.8E-3	1.4E-2	1.7E-3
3400	1.8E-2	5.4E-7	1.1E-7	1.6E-3	1.3E-2	1.6E-3
3500	1.6E-2	4.9E-7	1.0E-7	1.5E-3	1.2E-2	1.4E-3
3600	1.5E-2	4.3E-7	8.9E-8	1.3E-3	1.1E-2	1.3E-3
3650	1.4E-2	4.1E-7	8.5E-8	1.3E-3	1.0E-2	1.2E-3
4000	9.8E-3	2.8E-7	5.7E-8	8.8E-4	7.1E-3	8.5E-4
5000	3.6E-3	9.3E-8	1.9E-8	3.2E-4	2.6E-3	3.0E-4
6000	1.3E-3	3.2E-8	6.4E-9	1.1E-4	9.6E-4	1.1E-4
7000	4.7E-4	1.1E-8	2.2E-9	4.1E-5	3.5E-4	3.8E-5
8000	1.7E-4	3.8E-9	7.6E-10	1.5E-5	1.3E-4	1.3E-5
9000	6.3E-5	1.4E-9	2.7E-10	5.3E-6	4.8E-5	4.7E-6
10000	2.3E-5	4.8E-10	-	1.9E-6	1.8E-5	1.7E-6
11000	8.5E-6	1.7E-10	-	7.0E-7	6.5E-6	6.0E-7
12000	3.1E-6	-	-	2.5E-7	2.4E-6	2.1E-7
13000	1.1E-6	-	-	9.1E-8	8.8E-7	7.6E-8
14000	4.2E-7	-	-	3.3E-8	3.2E-7	2.7E-8
15000	1.5E-7	-	-	1.2E-8	1.2E-7	9.7E-9
16000	5.6E-8	-	-	4.3E-9	4.3E-8	3.5E-9
17000	2.0E-8	-	-	1.6E-9	1.6E-8	1.3E-9
18000	7.4E-9	-	-	5.7E-10	5.8E-9	4.5E-10
18250	5.8E-9	-	-	4.4E-10	4.5E-9	3.5E-10
